13508466
/m/03c7n9v
/m/03c7n9v
Frank McKelvey Bell
1918
{"/m/01qxvh": "Romance novel"}
a 3
accepts 1
agreeing 1
aid 1
and 5
as 1
bed 1
before 1
belongs 1
book 1
darts 1
day 1
death 1
disaster 1
division 1
engaged 1
enter 1
explosion 1
finds 1
flirting 1
floating 1
for 2
free 1
from 2
halifax 1
has 1
heard 1
her 1
his 1
hospital 3
in 3
is 2
last 1
later 2
lawrence 1
lawson 1
liberation 1
line 1
marriage 2
narrative 1
not 1
nova 1
now 1
occur 1
occurs 1
of 1
on 1
only 1
orthopedic 1
proposal 1
returns 1
river 1
saint 1
scotia 1
shortly 1
still 1
surgery 1
that 1
the 10
time 1
to 7
tom 5
vera 5
voluntary 1
volunteer 1
war 1
warrington 1
was 1
wealthy 1
welsford 1
when 1
which 1
while 1
william 1
wills 1
with 1
witness 1
wound 1
years 1
