19664438
/m/0g565qz
/m/0g565qz
Jenny Downham
2007
a 4
about 2
adam 2
after 2
an 1
and 9
are 1
at 1
away 1
before 2
beginning 1
behavior 1
behaviors 1
being 1
best 2
body 2
book 1
brother 1
brutally 1
bucket 1
but 1
cal 2
can 1
cancer 2
care 2
chemotherapy 1
comes 2
computer 1
consumed 1
coping 1
dad 1
dangerous 1
daughter 1
deems 1
denial 1
desire 1
despite 1
devotion 1
diagnosed 1
died 1
dies 1
different 1
discovered 1
divorced 1
do 1
doctors 2
does 1
dont 1
during 1
end 1
enjoy 1
even 1
excited 1
experience 1
explores 1
failing 1
father 3
feelings 2
few 1
find 1
first 1
follows 1
for 2
fouryear 1
friend 2
from 3
give 1
gonna 1
has 5
have 4
he 2
help 1
her 17
his 4
honest 1
hours 1
im 1
in 3
including 1
individual 1
influence 1
is 11
jealousy 1
joking 2
just 1
lack 1
last 2
left 1
leukemia 1
life 2
list 2
little 1
live 1
lived 1
long 1
looking 1
love 1
loved 1
loving 1
main 2
mechanism 1
mentions 1
miss 1
mixed 1
months 1
mother 2
necessary 1
neighbor 1
novel 3
of 12
on 2
one 1
ones 1
only 1
outrageous 1
parents 1
pass 1
passes 1
person 1
personal 1
point 1
positive 1
possible 1
pregnancy 1
priority 1
ranging 1
realizes 1
relationships 1
resistant 1
risky 1
sadness 1
says 1
seems 1
she 8
shy 1
sickly 1
side 1
sister 1
situation 2
some 1
spend 1
spends 1
start 1
supportive 2
taking 1
terminal 1
tessa 9
test 1
that 5
the 15
their 1
they 1
things 1
thinks 1
throughout 1
time 2
timid 1
to 11
told 1
trapped 1
treatments 1
unplanned 1
until 1
up 3
very 2
view 1
views 1
wants 2
whereas 1
which 1
wishes 1
with 6
written 1
you 1
zoey 2
