879065
/m/03l3rs
/m/03l3rs
Wallace Stegner
1971
{"/m/05hgj": "Novel"}
a 4
active 1
add 1
adult 1
after 1
almaden 1
also 1
ambition 1
and 4
another 1
at 2
authentic 1
been 1
berkeley 1
berkeleytrained 1
biography 1
break 1
businessmen 1
century 1
color 1
complete 1
contemporary 1
counterculture 1
culture 1
daughter 1
dimension 1
disappointments 1
divorce 1
end 1
environment 1
fact 1
feel 1
foils 1
foote 1
for 1
from 1
gaps 1
gives 2
grandmother 1
grandparents 1
hallock 1
has 1
he 2
helps 1
hippie 1
his 6
historical 2
history 1
home 1
idaho 1
in 3
include 1
including 1
interpretation 1
interprets 1
is 1
late 1
leaves 1
letters 2
life 1
line 1
little 1
locationsleadville 1
lyman 5
mary 1
mexicoan 1
movement 1
narrates 1
neighbor 1
new 1
notes 1
novel 2
of 8
on 2
original 1
other 1
out 1
plot 1
points 1
politicians 1
position 1
provides 1
sees 1
shady 1
she 2
sixties 1
sociologist 1
some 1
son 1
stegner 1
story 3
struggles 1
summer 1
taperecorded 1
that 1
the 13
this 1
times 2
to 2
toward 1
transcribe 1
uc 1
up 1
use 1
value 1
vividness 1
ward 1
wards 1
where 1
while 1
who 2
with 1
writing 1
