3495683
/m/09gn3d
/m/09gn3d


{"/m/06c9r": "Role-playing game"}
all 1
and 1
are 1
area 1
assassin 1
baron 2
be 1
beyond 1
castle 1
characters 2
clues 1
contained 1
contemporaries 1
dead 1
describes 1
different 1
down 1
dungeon 1
dungeonlike 1
entire 1
events 1
evidence 1
find 1
found 1
from 2
garrotten 2
go 1
have 2
in 2
is 3
it 1
its 2
killed 2
knot 1
longer 1
magical 1
module 1
more 1
most 1
murderer 1
must 1
mutilated 1
mystery 2
no 1
occur 1
of 6
or 1
place 1
player 2
players 1
pointing 1
possibility 1
reputed 1
restenford 2
restoration 1
scenario 1
shuts 1
small 1
solve 1
somebody 1
someone 1
take 1
that 1
the 19
three 1
to 6
town 2
unfortunate 1
unravel 1
village 3
when 1
who 1
with 1
