16982625
/m/0414fmn
/m/0414fmn
Karen Miller
2005-07-25
a 3
after 1
among 1
an 2
and 4
any 1
are 1
arrives 1
as 2
asher 2
assistant 1
be 2
been 2
begins 1
between 1
bitter 1
boat 1
born 1
breaks 1
but 2
buy 1
capital 1
circle 2
city 2
come 1
dedicated 1
doranen 2
enough 1
evil 1
executed 1
father 1
filled 1
fish 1
fleeing 1
for 2
fortune 1
gain 1
gar 1
has 2
have 2
he 2
his 4
homeland 1
hopes 1
in 1
inhabitants 1
innocent 1
is 4
it 2
law 1
life 2
lur 2
lurs 1
made 1
mage 1
magic 3
magicless 1
make 1
mediator 1
money 1
morg 1
of 3
olken 6
original 1
over 1
palace 1
preserving 1
prince 1
prophesied 1
rest 1
rioters 1
royal 1
ruled 1
saviour 1
show 1
soon 2
stables 1
starts 1
streets 1
takes 1
that 1
the 18
their 1
to 8
took 1
turn 1
unlawful 1
unrest 1
until 1
use 1
watching 1
who 3
will 2
with 3
worker 1
