3179753
/m/08xh26
/m/08xh26
Ann Radcliffe

a 8
able 1
accompanies 1
admirer 1
affection 1
after 2
almost 1
also 1
an 2
and 12
annette 1
appreciation 1
are 1
at 1
attempt 1
aubert 1
aunt 3
away 1
because 1
become 1
belongs 1
bond 1
brings 1
but 2
by 3
carry 1
castle 2
caused 1
chases 1
cheron 2
child 1
close 1
closer 1
coast 1
coincidental 1
control 1
count 2
death 2
decline 1
dies 1
discovered 1
discovering 1
du 1
dubious 1
due 1
during 1
emily 14
emilys 1
encounter 1
end 1
escape 1
especially 1
estate 2
even 1
events 1
fall 1
family 1
father 3
fears 1
feels 1
flee 1
following 1
for 2
force 2
forced 1
forever 1
fortunes 1
friend 1
frightening 1
from 5
gascony 1
go 1
grow 1
handsome 1
happen 1
harshness 1
have 1
he 2
heart 1
help 1
her 16
him 4
his 6
husband 1
husbands 1
illness 3
in 5
interests 1
is 6
it 1
italy 1
join 1
journey 2
kinship 1
landed 1
landscapes 1
learns 1
little 1
live 1
long 1
lost 2
love 1
ludovico 1
madame 2
man 1
many 2
marries 1
marry 1
mediterranean 1
months 1
montoni 3
morano 3
moranos 1
mother 1
mountainous 1
mystical 1
native 1
natural 1
nature 1
nearly 1
nobleman 1
none 1
now 2
of 8
off 1
on 1
only 1
orphaned 1
otherwise 1
over 2
paris 1
pont 1
prisoner 1
properties 1
property 1
pyrenees 1
quickly 1
refuses 1
remote 1
resigning 1
returning 1
reunited 1
roussillon 1
ruined 1
rural 1
searches 1
secret 1
secretly 1
serious 1
servants 1
severe 1
share 1
shared 1
shares 1
she 2
shows 1
sign 1
st 1
still 1
succumbs 1
takes 1
that 2
the 13
their 2
they 1
threatens 1
through 1
to 20
toulouse 1
tries 2
udolpho 3
upon 1
valancourt 6
violence 1
wants 1
was 1
wealth 1
went 1
which 1
who 4
whose 1
wife 2
wishes 1
with 5
within 1
without 1
world 1
would 1
wounds 1
