1052205
/m/041t95
/m/041t95
Thomas Hardy
1882
{"/m/05hgj": "Novel"}
a 3
across 1
against 1
age 1
all 1
an 1
and 3
apart 1
astronomer 1
astronomy 1
background 1
breaks 1
but 1
class 1
cleeve 1
complete 1
constantine 1
death 1
decorum 1
discovery 1
divide 1
emotional 1
expression 1
falls 1
fascination 1
forces 1
free 1
fullest 1
hardy 2
her 2
his 2
husband 1
in 2
is 3
junior 1
lady 1
leaves 1
legacy 1
lives 1
love 3
lovers 2
married 1
marry 1
most 1
of 8
on 1
rules 1
science 1
sets 1
she 1
social 1
st 1
starcrossed 1
stellar 1
swithin 1
tale 1
ten 1
the 10
them 1
theme 1
this 1
to 1
tower 1
treatment 1
two 2
unhappily 1
universe 1
when 1
which 1
who 1
with 2
years 1
