2273100
/m/06_y5t
/m/06_y5t
Anne Rice
1999-03-16
{"/m/014dfn": "Speculative fiction", "/m/03npn": "Horror", "/m/02xlf": "Fiction"}
1450 1
a 12
able 1
adventure 1
after 2
against 1
age 1
all 1
an 5
ancient 2
and 18
angel 1
angels 7
appear 1
are 8
arguing 1
armor 1
arrives 1
as 10
at 6
attack 1
attempts 1
away 1
be 1
bear 1
because 1
becoming 1
beggars 1
behead 1
behind 1
blood 3
bonnie 1
book 1
burial 1
but 1
by 4
can 3
cannot 1
care 1
carried 1
castle 2
century 1
children 1
closing 1
clyde 1
come 1
comes 1
conquers 1
continues 1
coven 3
crowd 1
dark 1
day 1
decapitating 1
departing 1
di 1
die 1
discovers 1
do 4
doorway 1
draining 1
dreadful 1
drinking 1
dying 1
each 1
el 1
elderly 1
end 1
ending 1
enough 1
escapes 1
esvittorio 1
even 1
every 2
everything 1
extinguishing 1
eyes 1
family 2
feast 1
filippo 1
fill 1
filled 1
find 1
finds 1
fixedly 1
flees 1
florence 1
for 5
fra 1
frees 1
from 7
frvittorio 1
gardens 2
gatherings 1
gathers 1
gift 2
giving 1
group 1
guiding 2
had 2
he 19
heads 2
help 2
her 3
him 12
himself 2
his 10
hopes 1
however 1
human 3
idol 1
image 1
important 1
in 10
incidentally 1
inn 1
innocents 1
instead 1
insubstantial 1
intense 1
intervention 1
into 2
invading 1
involves 1
is 10
it 4
italian 1
its 1
just 1
kill 1
killing 3
know 1
knows 1
lair 1
lands 1
later 1
le 1
leader 1
learns 1
leave 1
led 1
left 1
life 2
light 1
lippi 1
lovers 1
lurks 1
make 1
many 2
mastema 2
members 1
met 1
minutes 1
most 1
mournful 1
much 1
murdered 1
names 1
never 1
nightfall 1
no 3
nobleman 1
northern 1
not 3
notice 1
of 21
often 1
old 3
on 2
or 1
other 2
own 3
pages 1
part 3
people 3
performing 1
perilous 1
permanently 1
person 1
place 1
play 1
plots 1
plwampir 1
powerful 2
prepares 1
present 1
prevented 1
prevents 1
protecting 1
ramiel 1
raniari 1
rather 1
realizes 2
refusing 1
revenge 1
riches 1
rid 1
ritual 1
room 1
rovampirul 1
sacrificed 1
satisfy 1
saving 1
seduce 1
see 3
seeks 1
sees 1
selected 1
setheus 1
severed 1
shadowy 1
she 2
shelter 1
shining 1
siblings 1
sick 2
sixteenyear 1
sleep 1
some 3
someone 1
soon 1
soul 2
souls 2
spirit 1
stalking 1
staring 1
stay 1
strange 1
street 1
strikes 1
such 1
suddenly 1
sun 1
sunlight 1
surprised 1
takes 2
taking 2
tale 1
tells 1
thanks 1
that 8
the 35
their 5
them 1
then 2
there 1
these 2
they 6
thirst 1
this 2
thrown 1
time 2
to 10
towards 1
tragic 1
tricked 1
tuscany 1
twentieth 1
two 3
under 1
unique 1
until 1
urge 1
ursula 6
vampire 4
vampires 6
vampiro 1
very 1
village 2
villages 1
vittorio 17
walking 1
ways 1
we 2
wearing 1
were 1
what 1
when 2
where 2
which 1
while 1
whilst 1
who 3
will 2
window 1
wing 1
with 5
wither 1
within 1
witness 1
witnesses 1
worried 1
writes 1
yearning 1
years 1
yet 1
