4118520
/m/0bk34s
/m/0bk34s
Piers Anthony
1995-10
a 4
acknowledge 1
after 1
all 1
and 2
are 1
as 1
bag 1
barbarian 1
being 1
by 2
characters 1
citizens 1
d 1
deliriously 1
deliver 1
demoness 1
desiree 1
dryad 1
events 1
find 1
finds 1
for 1
gargoyle 1
geis 1
given 1
golem 1
good 1
gray 1
grundy 1
half 1
happy 1
held 1
her 3
hold 1
humphrey 1
husband 1
in 1
iris 1
is 3
jordan 1
magician 2
making 1
many 2
meets 1
mentia 1
metria 4
more 1
murphy 1
not 1
of 4
old 1
on 1
one 1
order 1
out 1
quest 1
remains 1
respective 1
roc 2
roxanne 2
seeking 1
sent 1
simurgh 1
sorceress 1
stork 2
summon 1
summons 2
task 1
that 2
the 7
their 1
then 1
to 4
trent 1
trial 2
veleno 1
whilst 1
why 1
will 1
with 1
worser 1
worth 1
xanth 2
year 1
