4935162
/m/0cvz4q
/m/0cvz4q
Michael Moorcock

20th 1
a 19
about 1
abrupt 1
accuses 1
actions 1
after 5
again 1
against 4
aging 1
all 7
allegiance 1
allies 1
allow 1
among 1
an 4
ancient 2
and 29
announce 1
answer 1
anyone 1
are 4
arjavh 7
army 3
arrival 1
arrives 1
as 5
asleep 1
at 4
attack 1
attempt 2
available 1
avatar 1
awakes 1
away 1
battle 4
be 10
become 1
becomes 1
before 1
beginning 1
begins 1
being 1
betrothal 1
betrothing 1
between 1
book 4
bound 1
bravely 1
bring 1
build 1
but 9
by 8
call 1
campaign 2
can 2
captivity 1
captured 1
carrying 1
caves 1
century 1
champion 2
children 1
choice 2
cites 1
city 3
civilized 1
claimed 1
claims 1
clear 1
clearly 2
color 1
come 1
commander 1
commands 1
commit 1
complete 1
constant 1
continent 1
contingent 1
continues 1
convinces 1
course 2
daker 3
dark 1
daughter 1
deadly 1
decides 2
defeat 1
demonic 1
depicted 1
desperate 2
destroy 2
destroyed 1
destroying 1
destroys 1
destruction 1
determined 1
dies 1
directed 1
disturbed 1
doubts 1
down 1
dreams 4
during 6
earliermentioned 1
earth 1
easily 1
effect 1
eldren 25
elric 1
elves 1
emits 1
empire 1
ending 1
engaged 1
erekos 16
ermizhad 6
escape 1
escapes 1
eternal 2
even 6
every 2
exhausted 1
expand 1
expedition 1
explains 1
exterminate 1
extinction 1
fallen 1
falls 1
familiar 2
fearsome 2
feels 1
few 1
fight 2
finds 2
finish 2
fleet 3
for 4
force 1
foredoomed 1
forgot 1
from 5
fulfilled 1
further 1
genocide 2
ghost 1
had 1
halflings 2
harbors 1
has 3
have 5
he 25
help 1
helpless 1
her 2
heroes 1
hid 1
hiding 1
higher 2
him 4
himself 2
his 15
history 1
hopelessly 1
how 1
however 3
human 6
humanity 2
humans 6
hunting 1
i 9
identity 1
if 2
immediately 1
implies 1
in 17
including 2
inevitable 1
inhabitant 1
inhabitants 2
inhabited 1
inhuman 1
instead 1
into 1
invites 1
iolanda 1
iolinda 5
is 26
it 14
its 3
jealous 1
john 3
kanajana 2
keeping 1
kill 6
killed 1
killing 1
kills 1
kind 1
king 1
knows 1
lack 1
lands 1
large 2
last 5
later 1
leads 1
least 1
legendary 1
lethality 1
life 1
loos 4
lost 1
love 2
machines 1
made 1
magical 1
major 1
make 1
makes 1
managed 1
many 2
married 1
marries 1
me 1
medieval 1
mernadin 1
might 1
minor 1
moment 1
motivations 1
mount 1
must 1
name 1
narrated 1
narrator 2
nature 1
naval 1
near 1
nearly 1
necranal 5
need 1
never 1
new 1
nights 1
no 1
none 5
not 5
novel 1
now 1
of 24
on 2
once 1
one 2
only 8
or 1
originally 1
other 1
others 1
ours 1
over 2
overonly 1
own 1
paphanaal 2
peace 2
people 1
planet 2
popularity 1
possibility 1
power 3
preserve 1
prince 2
prisoner 2
privately 1
proceeding 1
proceeds 1
prove 1
ptokai 4
put 1
queen 1
quickly 1
races 1
radiance 1
rash 1
reaches 1
reader 1
readers 1
real 1
realizes 1
reason 1
receives 2
recognize 1
reconcile 1
regrets 1
relative 1
relatives 1
released 2
remain 1
remaining 1
repeated 1
rescue 1
resemblance 1
rest 1
return 2
returns 4
rigenos 4
rightly 1
sack 1
said 1
save 1
saving 1
seaport 1
secretly 1
see 1
seeking 1
shall 2
she 3
sickened 1
siege 1
simply 1
single 1
sister 3
sleep 1
some 2
somehow 1
soon 3
southern 1
spare 2
still 1
stop 1
stormbringer 1
story 1
strange 1
strength 1
stronghold 1
struggle 2
struggles 1
such 2
summons 1
suppress 1
surviving 1
survivors 1
swear 4
sword 2
symapthy 1
sympathizing 1
taken 1
takes 2
teleport 1
tells 3
term 1
that 16
the 82
their 4
them 3
themselves 2
then 6
there 2
these 2
they 2
this 4
though 1
threat 1
through 1
throughout 2
time 4
to 41
tolkien 1
too 1
total 1
trade 1
transition 1
trapped 1
troops 1
turn 1
two 1
unclear 1
understanding 1
understands 1
unearth 1
unending 1
united 1
use 1
used 1
very 3
viewpoints 1
villages 1
virtue 1
vow 3
vowed 1
want 2
war 1
was 5
way 2
we 1
weapons 6
welcomed 1
when 7
where 1
whether 1
which 3
who 3
whole 1
will 7
with 7
women 1
works 1
world 3
worlds 2
worry 1
would 3
wound 1
yearlong 1
you 4
