5489505
/m/0dp1t9
/m/0dp1t9
Pierre Berton
1961
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/0dwly": "Children's literature"}
a 3
accompanied 1
adventure 1
ambition 1
and 1
as 1
baby 1
become 1
better 1
brother 1
by 1
children 2
collects 1
commonsense 1
descend 1
fantasy 1
fearless 1
four 1
frogs 1
from 1
garbageman 1
green 1
has 1
her 2
in 3
inhabitants 1
into 1
is 1
know 1
known 1
leader 1
lifes 1
mushrooms 1
mysteriously 1
of 2
og 1
one 1
only 1
out 1
pamela 1
patsy 1
paul 1
penny 1
peter 1
pets 1
playhouse 1
pockets 1
pollywog 1
search 1
secret 1
set 1
sister 1
strange 1
the 3
their 3
this 1
through 1
to 1
trapdoor 1
underground 1
vanished 1
who 2
whose 2
word 1
world 1
