4623763
/m/0cd5hr
/m/0cd5hr
Simon Messingham

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 1
again 1
ago 2
and 2
are 1
become 1
causing 1
class 1
companions 1
court 1
crystals 1
deal 1
did 1
doctor 2
energygranting 1
fallout 1
fifth 1
from 1
had 1
has 1
he 1
his 1
into 1
intrigue 1
is 2
long 1
minor 1
morestra 2
not 1
now 1
of 1
plan 1
planet 1
problems 1
return 1
returns 1
ruling 1
situation 1
so 1
stealing 1
sucked 1
the 5
theocracy 1
this 2
thousand 1
to 4
tries 1
trying 1
two 1
visited 1
well 1
which 1
while 1
with 1
work 1
years 1
zeta 1
