13589583
/m/03cb8gm
/m/03cb8gm
Michael Connelly
2002-11
a 3
an 2
and 3
announcing 1
are 1
attempt 1
becomes 1
before 1
betrayal 1
breakthrough 1
calling 1
entangling 1
entrepreneur 1
escape 1
fascinated 1
frdarling 1
had 1
happened 1
he 1
her 1
him 2
his 2
historic 1
hotshot 1
in 2
into 1
is 1
itutente 1
jungle 1
leads 1
lilly 1
lonely 1
lucrative 1
many 1
men 1
murder 1
nanotechnology 1
number 1
of 3
on 1
peculiar 1
potentially 1
pressure 1
puzzle 1
sconosciuto 1
so 1
telephone 1
the 4
to 2
trail 1
verge 1
very 1
what 1
who 1
why 1
with 1
woman 1
work 1
