30701582
/m/0g9svkb
/m/0g9svkb
Kevin Kelly
2010
{"/m/05h83": "Non-fiction"}
a 4
adulthood 1
an 1
and 2
anthropomorphic 1
argues 1
around 1
as 2
being 1
chapter 1
chronicles 1
cofounder 1
coined 1
conception 1
describes 1
designate 1
developing 1
earth 1
emerging 1
entitled 1
existence 1
experience 1
few 1
focuses 1
for 1
force 1
from 1
giant 1
gives 1
global 1
greater 1
has 1
he 1
helped 1
his 2
how 1
humantechnology 1
in 2
inform 1
interconnected 1
is 1
kelly 5
kevin 1
kingdom 1
life 2
many 1
massively 1
my 1
nomadic 1
of 7
offers 1
on 3
one 1
opening 1
parts 1
period 1
perspective 1
possessions 1
question 1
reader 1
relations 1
remote 1
sense 1
seventh 1
spent 1
system 1
technium 2
technology 5
that 1
the 9
this 1
to 2
traveler 1
traveling 1
us 1
vibrating 1
wants 2
went 1
what 3
which 2
wired 1
with 1
word 1
world 1
years 1
young 1
