2284812
/m/070wdr
/m/070wdr
Darren Shan
2002-10
a 11
about 4
adjust 1
adventure 1
after 2
all 1
alone 1
along 1
although 1
an 1
and 10
animals 2
any 3
are 1
arms 1
as 6
assistant 1
assistent 1
away 1
bag 1
be 2
bearded 1
because 2
becomes 1
befriends 1
begin 1
beginning 1
begins 3
behind 1
belong 1
between 1
biting 1
blood 4
blooding 1
boy 2
boys 1
but 5
by 1
cage 1
call 1
called 1
can 3
causes 1
chores 1
circus 1
cirque 2
clothes 2
comes 1
coming 1
companion 1
convinces 1
cope 1
corpse 1
crepsley 4
damage 1
darren 13
day 1
death 1
decided 1
decides 3
did 1
discussion 1
do 2
doubts 1
down 1
drink 4
dropped 1
du 1
ecological 1
eventually 1
evra 2
exscout 1
fa 1
faking 1
far 1
farmers 1
feeding 1
figure 1
finally 1
finding 1
fivampyyrin 1
for 4
forgets 1
freak 1
free 1
friends 2
from 6
gets 1
goes 1
going 1
good 1
grest 1
guardian 1
half 1
hard 1
harming 1
has 3
hates 1
he 9
hears 1
him 4
himself 1
hippie 1
his 8
how 1
hua 1
human 4
idea 1
in 1
inasa 1
including 1
into 1
investigate 1
is 6
it 2
killed 1
known 1
lady 1
larten 2
last 1
learn 1
learns 1
led 1
life 2
little 1
local 1
look 1
love 1
loves 1
main 1
make 1
makes 1
man 2
meet 1
move 1
moving 1
mr 5
must 1
new 2
night 1
no 1
not 2
novampyrens 1
of 10
off 3
on 2
onions 3
oppipoika 1
over 1
own 1
people 1
perform 1
performance 1
pickled 2
place 1
police 1
preoccupied 1
preserver 1
preserving 1
protagonist 1
put 1
refuses 2
reggie 7
regret 1
rv 1
sam 6
set 1
sets 2
shan 1
shown 1
sick 1
smuggle 1
snake 2
so 1
some 1
sometimes 1
soon 2
soul 1
sound 1
standing 1
still 3
stolen 1
story 1
strength 1
stronger 1
take 1
tall 3
teaches 1
tell 1
telling 1
tending 1
than 1
that 4
the 17
them 1
then 1
therefore 1
they 1
things 1
though 1
threatening 1
to 22
together 1
trio 1
truska 1
trying 1
turning 1
unchallenged 1
upand 1
vampire 2
vampirism 2
veggie 2
violent 1
vmpr 1
von 1
was 3
way 1
when 1
which 2
while 1
who 4
wind 1
with 4
without 1
wolf 2
wolfman 3
worry 1
young 1
zh 1
