12653
/m/03b1x
/m/03b1x
Frank Herbert
1981-05-28
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
3500 1
a 37
abilities 1
able 1
about 1
absolute 2
accepts 1
actions 1
activities 2
adapt 1
after 2
again 1
against 1
agitated 1
alien 1
all 1
allowing 1
allows 1
alone 1
also 1
altering 1
although 2
ambassador 2
among 1
amuses 1
an 3
ancient 2
and 55
another 1
any 1
anyway 1
appeared 1
are 5
arms 1
army 1
arrakis 2
as 16
ask 1
assassinate 1
at 1
atreides 4
atrophied 1
attack 1
attempt 1
attempted 1
aware 1
away 1
basically 1
battles 1
be 5
beauty 2
because 2
becomes 1
becoming 1
been 6
before 1
begins 3
begun 1
being 1
believing 1
below 1
bene 1
between 1
biology 1
body 4
bodyguard 1
boredom 1
both 3
brain 1
breeding 2
bridge 1
brings 2
burden 1
but 6
by 13
calls 2
calm 1
cannot 1
canyon 1
capable 1
captain 1
captivated 1
carries 1
cart 1
cause 1
caused 1
ceased 1
cells 2
centuries 1
children 1
choam 1
chooses 1
circumstances 1
citadel 3
close 1
closetoabsolute 1
coldly 1
come 1
complete 1
completely 1
compounded 1
concept 1
concludes 1
confidante 1
confident 1
conflict 1
confusion 1
connected 1
considered 1
considering 1
continue 1
continued 2
continues 1
control 4
conversation 1
corrino 1
court 1
courtiers 1
covered 1
crossing 1
cut 1
cynical 1
dancers 1
daughter 1
de 1
death 1
decades 1
decide 1
decision 1
decisions 1
deems 1
defending 1
demise 2
depraved 1
desires 1
despite 1
despotic 1
device 1
devotion 1
did 1
dies 1
diffused 1
discussions 1
disgust 1
disorientation 1
displayed 1
dissolve 1
distress 1
distribution 1
do 1
documents 1
doesnt 2
domination 2
doubt 1
drives 1
due 1
dull 1
duncan 11
dune 2
during 2
duties 1
dwarfed 1
elongated 1
embodiment 1
emperor 7
empire 5
employed 1
end 2
endured 1
enforced 2
enhancements 1
enormous 1
ensure 1
entranced 1
even 2
eventual 1
eventually 1
everlasting 1
evolution 1
excerpts 1
exist 1
existence 1
existing 1
expendable 1
explains 1
expressing 1
face 5
fact 1
facto 1
faithful 1
faithfully 1
fall 1
familiar 1
family 1
fanaticism 1
faradn 1
father 1
feelings 3
feels 1
feet 1
few 3
final 1
finally 1
fire 1
fish 2
for 9
forced 2
foreseeing 1
form 2
formal 1
former 2
free 2
friend 2
friends 1
from 11
functions 1
galaxy 1
genetic 1
gesserit 1
ghanima 1
ghola 1
gholas 4
giant 1
gifted 1
gladly 1
god 8
golden 5
government 1
grace 1
gradually 1
grasp 1
great 2
group 1
grow 1
grown 2
guard 1
guild 1
had 3
hands 1
haploid 1
harm 1
has 11
have 7
having 1
he 21
her 10
hidden 1
him 11
himself 1
his 47
hoard 3
house 3
houses 1
however 1
human 5
humanity 2
hwi 9
idaho 6
ii 1
immediately 1
immersed 1
immortal 1
imperium 1
impervious 1
important 1
in 14
inadequacy 1
incapable 2
incarnation 1
incessant 1
inner 1
insane 1
inside 1
instructions 2
intense 2
internal 1
intimacy 1
into 3
invisible 1
ironically 1
is 23
it 5
items 1
its 2
ixian 4
ixians 1
jagged 1
journal 1
just 1
justifying 1
kill 1
knowledge 1
knows 2
landsraad 1
large 1
lasgun 2
later 1
latest 1
lead 1
leader 1
learns 2
leaving 1
legs 1
lengthened 1
lengths 1
leto 38
life 2
lifespan 1
like 1
limited 1
little 1
locate 1
location 1
loneliness 1
long 3
loss 1
love 2
loyalty 2
made 1
maintain 1
maintains 1
majordomo 1
majority 2
makes 1
malky 1
managing 1
manipulation 1
mankind 1
manufacture 1
many 1
marriage 1
marry 1
masterful 1
may 1
mdash 7
means 2
