29536387
/m/0ds1w2h
/m/0ds1w2h
Eileen Chang
2010
a 9
about 1
abroadand 1
actual 1
addicted 1
addiction 1
adrift 1
adults 1
age 3
and 10
around 1
as 2
attitude 1
aunt 4
background 1
be 1
beaten 1
because 1
born 1
bound 1
boy 2
brother 2
but 1
by 1
child 2
childhood 1
china 1
clear 1
consequence 1
cosseted 1
decided 1
decline 1
destitution 1
did 1
different 1
divorce 1
do 1
due 2
etc 1
even 1
everdiminishing 1
existed 1
extended 1
eyes 1
fall 1
family 6
father 4
fear 1
female 1
financial 1
followed 1
for 1
freedom 1
from 1
girl 3
given 1
go 1
gossip 1
grew 1
had 1
he 4
her 10
hill 1
his 1
hypocritical 1
ignored 1
important 1
in 7
is 2
jealousy 1
leaving 1
life 2
little 2
live 1
lived 1
loyalty 1
lu 1
lute 6
maybe 1
money 1
moral 1
more 1
morose 1
mother 2
much 1
narrative 1
need 1
negative 1
no 1
noble 1
not 1
of 9
often 1
older 1
on 1
opium 2
others 1
over 1
oversupervised 1
own 1
pagoda 1
parents 1
patriarch 1
pleasure 1
postqing 1
presided 1
prestige 1
pretending 1
process 1
psychological 1
pursuing 1
qin 1
relentlessly 1
same 1
scandal 1
sea 1
selfish 1
selfreliance 1
servants 2
she 2
sickly 1
significant 1
so 1
some 1
sometimes 1
special 1
sprawling 1
story 1
successor 1
survival 1
tarnished 1
tells 1
terror 1
than 1
that 1
the 14
their 4
they 2
this 1
those 2
through 1
to 10
together 1
tong 1
up 1
vanguard 1
wanted 1
was 8
way 1
weak 1
wealth 1
were 3
what 1
which 1
while 1
who 1
with 2
woman 1
work 1
would 1
young 3
yuxi 1
