1183219
/m/0bvs20l
/m/0bvs20l
Ewen Montagu
1954
a 5
about 1
acquisition 1
actual 1
addresses 1
after 1
against 1
airvice 1
allied 1
although 1
an 1
and 4
as 4
attached 1
attack 1
be 1
begun 1
being 1
believed 1
body 2
briefcase 1
by 1
cadaver 1
cameo 1
close 1
command 1
complete 1
containing 1
convenient 1
copies 1
dead 1
declared 1
described 1
didnt 1
doubts 1
dressing 1
during 1
ewen 1
example 1
fabrication 1
fake 1
falsely 1
feasibility 1
fiction 1
fictional 1
fictitious 1
film 2
filming 1
for 1
found 1
german 1
germans 1
greece 2
had 1
happen 1
happened 1
happy 1
has 2
have 1
he 1
high 1
his 1
huelva 1
human 1
in 2
incidents 1
intelligence 2
intended 1
into 1
invasion 1
involved 1
irish 1
is 1
it 2
landings 1
letters 1
major 1
marshal 1
martin 1
might 1
mincemeat 1
moment 1
montagu 3
near 1
objectives 1
of 6
on 1
operation 1
papers 1
passed 2
persona 1
plan 1
played 1
point 1
proposed 1
putting 1
rather 1
real 1
remainder 1
rm 1
role 1
ruse 1
sardinia 2
screenplay 1
sea 1
service 2
sicily 2
so 1
spain 1
spanish 1
spy 1
stating 1
stayed 1
still 1
successful 1
surreal 1
than 1
that 5
the 23
their 1
them 1
they 1
to 4
truth 1
up 1
was 6
webb 1
weeks 1
were 1
when 2
which 2
who 1
william 1
with 2
would 1
