1225812
/m/04k062
/m/04k062
Gary Paulsen
1987-09-30
13 1
22 1
406 1
54 1
a 20
activates 1
affair 1
after 2
aid 1
all 1
alone 1
also 1
an 1
and 11
animals 1
another 1
are 1
area 1
arrives 1
arrows 1
as 2
aside 1
at 3
attack 1
attempts 1
back 1
bear 1
because 1
becomes 1
before 1
berries 1
birds 1
bittersweet 1
bow 1
boy 1
brian 12
broken 2
bush 1
but 3
buyer 1
can 1
canada 1
caught 2
cessna 1
cheating 1
cooking 2
crafting 1
crashlanding 1
cutting 1
days 1
deals 1
departed 1
dies 1
different 1
discuss 1
dives 1
divorced 1
does 1
draws 1
drops 1
during 2
eat 1
eggs 1
else 1
emergency 1
endless 1
ends 1
eventually 1
fashions 1
father 4
few 1
fields 2
figures 1
finally 1
find 1
finds 2
fine 1
fire 1
first 1
fish 1
fishing 1
flight 1
float 1
food 4
for 1
forest 1
from 2
fruit 1
fur 1
gave 1
get 2
gift 1
grocery 1
had 1
hatchet 4
he 11
heart 1
him 1
himself 2
his 14
hits 1
home 2
how 2
in 8
inside 1
into 2
is 5
it 5
kit 1
know 1
lake 3
land 1
later 2
life 1
make 1
makes 2
man 1
many 1
marveling 1
memories 1
memory 1
moose 1
mother 3
northern 1
not 1
nothing 1
of 8
off 1
oil 2
on 3
once 1
only 1
out 2
overhang 1
own 1
pack 1
packs 2
parents 1
person 1
pilot 1
plane 8
porcupine 1
quantities 1
rabbits 1
raft 1
reaches 1
rescues 1
returns 1
rifle 1
robeson 1
rock 1
saving 1
shelter 1
shore 2
shortly 1
signal 1
skunk 1
snapping 1
some 2
somebody 1
spear 1
still 1
store 1
struggles 1
such 2
sudden 1
suffers 1
summer 2
survival 1
survive 1
tail 2
the 28
thinks 1
threats 1
throughout 1
throws 1
time 2
to 10
tops 1
tornado 1
toward 1
transmitter 3
travels 1
tree 1
tries 1
turtle 1
unable 1
underside 1
up 1
use 1
utensils 1
variety 1
visit 1
was 1
way 1
whatever 1
when 3
which 1
who 2
whom 1
whose 1
wilderness 2
with 7
wolves 1
woodsman 1
yearold 1
yet 1
