7575811
/m/0265r3m
/m/0265r3m
Steve Perry
1992
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 34
abandons 1
able 1
about 1
accurate 1
advantage 1
after 3
agrees 1
akin 1
alien 21
aliens 10
alive 2
all 2
already 1
altered 1
ambushed 1
an 5
and 38
another 2
anyone 1
apparently 1
appear 1
appears 1
approach 1
are 7
arriving 1
as 5
assisted 1
asylum 1
at 2
attack 2
attacked 1
attacks 1
attempt 2
avoid 1
away 1
bait 1
battlehardened 1
be 2
been 3
before 1
begins 2
being 1
beings 1
believe 1
below 1
best 1
billie 10
biowarfare 1
black 2
blackops 1
blake 3
board 2
book 3
box 2
break 2
breaks 1
bridge 1
broken 1
burnup 1
but 3
by 11
called 1
can 1
cannot 1
captive 1
captured 2
characters 1
choice 1
cialike 1
cleanup 5
clear 1
cliffhanger 1
close 1
collect 1
collides 1
colonial 10
colony 1
combat 4
come 1
comes 1
completely 2
contact 1
container 1
containing 1
control 1
corporation 1
cost 1
could 1
crashed 1
creature 1
crew 5
crewman 1
crewmembers 1
cult 3
decision 1
defense 1
demanding 1
deorbit 1
derelict 5
despite 1
destination 2
destroy 1
destroyed 1
detection 1
devastated 1
do 1
does 1
doing 1
dominate 1
down 3
dropship 2
during 1
earth 9
efforts 1
elephant 1
elephantalien 1
else 1
en 1
encounter 1
encountered 2
ending 1
enter 1
enters 1
escape 2
evacuted 1
ever 1
everything 1
except 1
executives 1
expedition 4
facehugger 1
facehuggers 1
few 1
fight 1
final 1
first 3
fly 1
followed 1
for 9
force 2
forced 1
forces 1
fray 1
from 5
get 2
giant 1
girl 1
go 1
god 2
great 1
greedy 1
group 4
guard 1
had 1
hand 1
harming 1
has 5
have 3
he 2
head 1
headed 1
her 3
hide 1
him 1
hire 1
his 2
hive 2
holding 1
home 1
homeworld 1
horde 1
horror 1
hospital 1
hostile 2
however 2
human 2
humans 2
idea 2
illegal 1
implantation 1
implanted 2
in 10
included 1
including 1
information 1
initial 1
intercept 1
interested 1
into 4
investigate 1
is 17
it 6
its 2
job 1
jockey 1
joining 1
junk 1
just 1
keep 1
keeping 2
kill 4
killed 4
kills 1
lab 3
landing 1
last 1
law 1
leader 1
leads 1
learn 1
leave 1
leaves 1
leaving 1
led 1
like 1
listed 1
little 1
locate 1
located 1
looking 1
lucky 1
lv426 1
made 1
make 4
makes 1
making 1
manage 3
managed 2
manages 4
marine 14
marines 11
massey 5
meanwhile 1
members 2
mental 1
mercenary 7
military 1
mission 3
mitch 9
money 1
monopoly 1
months 1
most 1
movie 1
much 1
name 1
named 5
naval 1
nearby 1
new 1
next 1
nightmare 1
nightmares 1
no 3
nostromo 1
not 5
obtaining 1
of 33
off 2
on 12
one 3
only 3
onto 1
or 2
orbit 2
organization 1
organized 1
origin 1
original 1
other 1
out 4
outside 1
over 4
panics 2
parks 3
particularly 1
pass 1
period 1
permit 1
pick 1
picked 1
plan 1
planet 10
planets 1
plans 2
posed 1
preparing 1
prepped 1
presumably 1
prevent 1
previously 1
programming 1
realize 1
realizes 1
relationship 1
released 1
religious 1
remaining 1
rescue 3
rest 3
retrace 1
return 2
returns 1
revealed 1
reveals 1
rim 2
robotics 1
romantic 1
roster 1
route 2
routine 1
same 1
samples 1
seizing 1
send 2
sent 1
several 2
she 2
ship 17
since 1
situation 1
slowly 1
small 1
so 3
socalled 1
something 2
space 3
spaceship 2
species 5
specimen 3
start 1
stow 1
stowaway 1
successfully 1
suddenly 1
suffering 1
suicidal 1
suicide 1
surprise 1
surviving 2
survivor 1
survivors 2
swarm 1
sweep 1
synthetic 2
synthetics 8
take 3
taking 1
team 3
that 5
the 112
their 5
them 2
then 1
they 4
third 1
this 3
threat 1
tia 1
to 43
traitor 1
traitorous 1
trilogy 1
try 2
turns 3
unarmed 1
undertake 1
unknown 1
up 1
upon 1
use 2
using 1
vessel 2
violation 1
violent 1
was 2
watch 1
way 1
weapon 1
weapons 1
well 1
weylandyutani 3
when 3
where 3
who 2
whom 1
whose 3
wild 1
wilkes 3
wilks 9
wishes 1
with 9
without 1
world 1
worships 1
xenomorph 2
xenomorphs 1
