105309
/m/0qdh6
/m/0qdh6
Petronius Arbiter

{"/m/05hgj": "Novel", "/m/06nbt": "Satire", "/m/02p0szs": "Historical fiction", "/m/05qgc": "Poetry", "/m/02xlf": "Fiction"}
0 1
1 1
10 1
100101 1
103 1
105 1
107 1
108 1
11 1
110112 1
11124 1
114 1
115 1
116 1
117 1
118 1
12 1
121 1
12130 1
1215 1
125 1
126128 1
131 1
132 1
133 1
134135 1
136137 1
137 1
138 1
13813 1
140 1
141 1
1618 1
2 1
2126 1
26 1
2630 1
300 1
3141 1
34 1
35 1
4146 1
47 1
48 1
56 1
6 1
62 1
63 1
65 1
67 1
7 2
71 1
72 1
78 3
8 3
80 1
8182 1
8384 1
8587 1
88 1
a 46
about 8
absent 1
accomplished 1
activity 1
adjoining 1
advantage 2
adversary 1
affair 1
after 10
again 1
against 1
agamemnon 5
age 3
aging 1
agree 1
agreed 2
alarm 1
allows 1
almost 1
along 2
also 2
although 1
among 1
an 9
anal 1
and 55
apparently 4
appeared 1
apply 1
are 15
argument 1
arranged 1
arrive 3
arrives 3
art 1
as 18
ascyltos 10
ashore 1
asiatic 1
asks 1
assistants 1
at 6
attacked 1
attempt 2
attempts 3
away 1
back 1
bargates 1
baths 3
be 1
beautiful 1
because 3
bed 2
been 2
begin 1
beginning 1
begins 2
begs 1
belatedly 1
believe 1
better 1
between 2
blame 1
blames 1
board 2
body 1
boy 3
breaks 2
breast 1
brings 2
broken 2
brooding 1
brother 1
build 1
burst 1
but 11
by 15
caesar 1
called 4
campania 1
can 2
cannibalism 1
captain 1
capture 1
central 1
certain 1
chapters 1
childless 1
children 1
chrysis 3
circe 4
cited 1
city 1
civil 1
claims 3
classicists 1
colonnade 1
companion 2
companions 6
company 1
compares 1
complaints 1
condemns 1
conflict 1
confronted 1
constantly 1
consume 1
conte 1
content 1
conversation 2
cooking 1
corax 3
corpse 1
corpses 1
courses 2
crotona 3
crucified 1
cult 1
cumae 1
cure 3
cured 1
daughter 2
day 2
days 1
dead 2
death 1
debate 1
