19135867
/m/04j9kng
/m/04j9kng
Beverly Cleary

15yearold 1
16yearold 2
a 7
about 1
after 1
although 1
analyses 1
and 8
another 1
appendicitis 1
are 1
as 3
asked 1
asks 1
at 2
attracted 3
babysitting 1
be 2
before 1
behavior 1
believe 1
bitsy 2
blonde 1
book 1
boy 1
boyfriend 1
bracelet 1
break 1
brief 1
but 2
california 1
calls 1
cannot 1
circles 1
clothes 1
confident 1
constantly 1
crandall 1
dance 1
date 2
datejane 1
dates 1
day 1
delivery 1
detached 1
does 1
dreams 1
during 1
encounter 1
end 1
envies 1
even 1
expensive 1
extremely 1
feels 2
fluctuates 1
for 1
forgets 1
girlfriend 1
girls 1
gives 1
go 1
going 1
has 1
having 1
he 7
her 7
high 2
him 1
his 2
however 1
id 1
immediately 1
in 2
is 6
it 1
jane 8
later 2
learns 1
left 1
like 1
marcy 1
meets 1
met 1
more 3
not 2
now 1
of 3
off 1
on 2
one 1
out 4
outing 1
petfood 1
popular 2
pretend 1
purdy 1
quiet 1
ready 1
reassures 1
relationship 1
scaring 1
school 2
seem 1
she 7
sick 1
sign 1
social 1
someone 1
somewhat 1
sophisticated 2
stan 8
status 1
steady 1
stokes 1
store 1
student 1
symbol 1
takes 1
that 6
the 5
their 1
they 1
though 1
throughout 1
tired 1
to 7
turns 1
unusually 1
upset 1
wear 1
whether 1
while 1
who 2
will 1
with 2
without 1
woodmont 1
worrying 1
