26052
/m/06hf1
/m/06hf1
Larry Niven
1970
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
2 1
200th 1
2850 1
600 1
a 33
abandon 1
about 3
above 1
accompanied 1
action 1
advanced 1
age 1
aggressiveness 1
air 1
all 1
alone 1
along 1
also 1
an 6
ancient 1
and 24
apparently 1
appear 1
approximately 2
are 6
area 1
arrives 1
artificial 2
as 7
at 2
atmosphere 1
attacked 1
attempts 1
automated 1
automatic 1
away 1
back 3
based 1
basement 1
because 1
behind 2
between 1
beyond 2
birthday 1
blasphemy 1
blown 1
book 1
bored 1
both 1
breaks 1
breeding 3
broke 1
brown 1
building 1
but 2
by 8
called 1
can 1
castle 1
catch 1
caught 1
caused 1
celebrating 1
centrifugal 2
choose 1
circumference 1
city 3
civilization 3
collect 1
collides 1
commit 1
compartment 1
conclude 1
concludes 1
condition 1
confronted 1
connected 1
contacting 1
continue 1
continues 1
crash 1
crashed 3
crashlands 1
crater 1
crew 6
cross 1
crumbling 1
damaged 1
defences 1
defense 1
designed 1
despite 1
destroyed 1
develops 1
devises 1
diameter 1
direction 1
disabled 1
discussing 1
dislodged 1
distance 2
does 1
down 1
downfall 1
dragging 1
drive 3
drives 1
due 1
during 1
each 1
earth 2
earthsized 1
edge 2
encircling 1
encounter 2
end 1
engineers 1
enormous 1
enough 1
entering 1
equivalent 1
escape 1
escaping 1
expedition 1
experienced 1
experiments 1
exploration 1
explore 1
explorers 3
fact 1
failed 1
fast 1
fasterthanlight 2
fell 1
find 4
first 1
fistofgod 1
flat 1
floating 2
floor 2
flycycles 2
flying 1
follow 1
for 5
force 2
forced 2
forces 1
former 1
four 1
freedom 1
from 2
fulfilling 1
get 2
giant 1
goal 1
gods 1
gravity 3
gridley 1
ground 1
habitable 1
halrloprillalar 1
has 3
have 1
he 2
help 2
helped 1
her 4
hero 1
his 4
hole 1
home 2
hope 1
hostility 1
hotrufan 1
huge 1
human 2
humans 1
hyperdrive 2
impact 2
in 15
including 1
indirect 1
inhabit 1
inhabited 1
inner 2
intact 1
into 3
introduced 1
is 16
it 5
its 3
join 1
journey 1
keep 1
known 2
kzin 2
land 1
landing 1
launch 1
leading 1
learn 1
learned 1
learning 1
leaving 1
less 1
life 1
living 1
louis 8
lover 1
luck 1
makes 1
many 1
map 3
massive 1
mechanism 1
meet 1
member 1
meteor 3
miles 2
million 3
mission 1
mold 1
months 1
more 2
mountain 5
native 1
natives 2
near 2
nessus 4
new 1
night 1
none 1
normal 1
not 1
novel 1
now 1
of 28
offenders 1
offered 1
on 9
once 2
one 3
onward 1
open 2
opens 1
or 1
orbit 1
original 2
other 3
out 1
outward 1
over 1
passage 1
past 1
perfect 1
performed 1
physical 1
pierson 1
plan 1
planets 1
plateau 1
police 7
positions 1
prill 3
primitively 1
prison 1
provide 1
provided 1
providing 1
pull 1
puppeteer 3
pushed 1
pushes 1
reach 1
reaches 2
reaching 1
relates 1
remain 2
remaining 1
result 1
resulting 1
returning 1
reveal 1
revere 1
rim 1
ring 9
ringworld 16
rotates 1
ruined 1
ruins 1
safe 1
searching 1
secrets 1
seeker 3
set 1
severely 1
shadow 4
shadowsquare 1
she 2
ship 9
site 1
soltype 1
some 2
space 5
spaceship 4
speaker 3
speakertoanimals 1
spins 1
square 2
squares 1
star 1
station 9
storm 1
strand 1
stranded 1
strong 1
studies 1
succeed 1
summit 1
superconductive 1
superconductors 1
surface 1
survive 1
system 1
systems 1
take 1
taking 1
team 2
technology 2
teela 5
tether 1
that 7
the 84
their 5
them 6
themselves 1
then 2
therefore 1
they 15
thin 1
think 1
thinking 1
thoroughly 1
threads 1
three 3
through 4
to 33
top 1
trade 1
traffic 1
trance 1
trapped 1
travel 3
trip 1
try 1
ultrastrong 1
unable 1
underside 3
unknown 1
up 2
use 3
used 1
uses 1
using 1
vast 1
vehicle 1
vessel 1
videos 1
visiting 1
voyage 2
was 3
way 2
well 1
what 1
when 4
where 2
which 4
while 1
who 3
whom 1
wide 1
will 2
wire 7
with 4
without 1
woman 1
world 1
worlds 1
wreck 1
wu 1
year 1
young 1
