2101944
/m/06m7sw
/m/06m7sw
Boris Strugatsky
1987-03-25
a 8
above 1
action 1
after 1
all 1
along 1
alter 1
an 1
and 7
another 1
are 5
as 2
at 3
be 4
become 1
becoming 1
being 2
believe 1
betrayal 1
beyond 1
book 1
born 1
both 1
but 1
by 1
called 2
capacity 1
characters 1
civilization 1
claim 1
claiming 1
clear 1
coerced 1
conduct 1
decide 1
different 1
discover 1
discovered 1
distinct 1
end 1
ends 1
events 2
experiments 1
family 1
far 1
fictional 1
first 1
for 1
friends 1
from 1
further 1
glumov 8
great 1
group 2
had 1
has 1
have 1
he 1
himself 1
his 2
human 2
humanity 1
humans 2
implication 1
implied 1
in 6
indeed 1
instances 1
intent 1
interests 1
investigates 1
investigation 3
is 1
it 1
join 2
kammerer 2
large 1
latent 1
later 1
leads 1
luden 3
ludens 6
made 1
maxim 2
means 1
member 1
memoir 1
mental 1
minds 1
morality 1
much 1
must 1
new 1
normal 1
not 1
note 1
novel 1
of 8
on 2
or 1
order 1
organization 1
own 1
possess 1
powers 1
principal 1
public 1
race 2
revelation 1
routinely 1
secret 1
series 1
setting 1
sinister 1
society 1
sole 1
some 1
source 1
states 1
story 2
that 5
the 21
their 4
them 1
themselves 1
they 3
those 1
to 10
told 1
toyvo 1
traditional 1
ues 2
unexplained 1
unmasks 1
up 1
view 1
wanderers 1
was 2
what 1
whether 1
which 1
with 1
witnesses 1
work 1
working 1
would 2
writing 1
