8646572
/m/027cdhk
/m/027cdhk
Dave Eggers
2006-10-25
a 5
achak 4
after 2
afterward 1
again 1
along 1
and 8
another 1
arab 1
arabic 1
are 3
as 2
assault 2
at 1
aunt 2
bag 1
bai 1
be 1
before 1
believed 1
book 1
boy 1
boys 2
but 1
by 2
camp 3
childhood 1
civil 1
conditions 1
credits 1
danger 1
dead 1
detection 1
dinka 1
dress 1
during 2
encountering 1
escapes 1
ethiopia 1
ethiopian 1
evades 1
eventually 1
expectations 1
family 1
father 1
finally 1
fire 1
flee 1
flees 1
foot 1
for 2
forced 1
frequently 1
friends 1
from 1
god 1
goes 1
grain 1
great 1
group 1
hardship 1
hardships 1
he 4
hear 1
helping 1
her 1
hidden 1
hiding 1
him 1
his 7
house 1
identified 1
in 6
inflated 1
investigate 1
is 6
it 1
k 2
kakuma 1
kenya 1
later 1
loses 1
lost 1
make 1
marial 1
mengistu 1
militia 1
moses 2
mother 2
moves 1
murahaleen 1
never 1
of 5
on 2
open 1
other 1
out 1
overthrown 1
parallel 1
president 1
quiet 1
referred 1
refugee 2
screaming 1
second 1
seeks 1
sees 1
separated 1
shattered 1
shelter 1
sight 1
soldiers 1
states 2
stay 1
story 1
subsequent 1
sudanese 1
terrible 1
the 14
their 1
them 1
they 4
throughout 1
to 9
told 1
traveller 1
united 2
village 1
war 1
way 1
when 1
which 1
who 1
william 2
wipes 1
with 3
years 1
yellow 1
young 1
