254652
/m/01lrk5
/m/01lrk5
Stella Gibbons
1932
1thcentury 1
20th 1
20thcentury 1
a 2
ada 1
adapt 1
advantage 1
amount 1
an 1
and 7
apply 1
are 1
art 1
as 1
at 1
atone 1
aunt 1
badly 1
being 1
book 1
by 2
caused 1
century 1
certain 1
cold 1
comfort 1
common 1
conscience 1
death 1
decides 1
determines 1
distant 1
done 1
doom 1
each 1
early 1
earning 1
either 1
emotional 1
every 1
extended 1
fact 1
family 1
farm 4
father 1
fear 1
feel 1
fictional 1
finds 1
flora 2
following 1
for 1
genre 1
grace 1
has 1
hatred 1
help 1
her 5
heroine 1
howling 1
ignorance 1
impose 1
in 4
inhabitants 2
is 3
isolated 1
levelheaded 1
limits 1
literature 1
living 1
longfestering 1
may 1
modern 1
must 1
no 1
obligated 1
of 8
on 2
once 1
one 3
or 2
own 2
parents 1
possessed 1
poste 1
problem 1
problems 1
relatives 2
romantic 1
run 1
save 1
sense 1
set 1
settles 1
she 3
society 1
some 1
starkadders 1
sussex 1
take 2
that 3
the 12
their 2
them 1
to 7
typical 1
unspecified 1
urban 1
village 1
visiting 1
woman 1
workers 1
wrong 1
