27342400
/m/0bxz2ll
/m/0bxz2ll
Lin Carter

a 1
after 1
all 1
and 5
are 1
as 1
back 2
battle 1
been 1
behind 1
black 1
both 1
but 1
by 1
callisto 1
captivity 1
carrying 1
cement 1
city 3
conspiring 1
control 1
dark 1
darloona 4
defenses 1
disrupts 1
driven 1
during 1
earthman 1
enemy 1
escapes 1
essentially 1
exile 1
fall 1
finds 1
foes 1
followers 1
force 1
free 1
from 2
given 1
good 1
graces 1
had 1
hand 1
hands 1
has 1
have 1
having 1
he 1
her 5
himself 1
his 1
improbably 1
in 4
infiltrate 1
intends 1
into 2
invade 1
is 1
its 2
jandar 5
jonathan 1
journeying 1
jovian 1
kills 1
ku 2
leader 2
legion 2
man 1
mastermind 1
mercenary 1
mind 1
misfortunes 1
moon 1
mysteriously 1
native 1
occupied 1
occupiers 1
of 9
on 1
one 2
only 1
oola 1
or 1
order 1
out 1
over 2
particularly 1
people 1
pirates 2
previous 1
previously 1
priest 1
prince 1
princess 2
rescuing 1
saving 1
scouts 1
secretly 1
see 1
shondakar 3
sky 2
son 1
sprung 1
spy 1
square 1
succeeded 1
supposed 1
surprise 1
system 1
take 2
thad 2
thanator 2
that 2
the 23
through 1
thuton 1
to 9
transported 1
tunnel 1
tunnels 1
ultimately 1
underground 1
very 1
victorious 1
volume 1
weaknesses 1
wed 1
wedding 1
which 1
while 1
who 1
wizards 1
zandahar 2
