652356
/m/02_rwc
/m/02_rwc
Robert Jordan
1998-10-20
5 1
a 3
absent 2
aes 1
aiel 1
alliandre 1
almeara 1
altara 1
althor 1
alvere 1
amyrlin 1
an 2
and 9
andor 2
are 1
area 1
armies 1
army 1
as 2
ashaman 2
at 2
attacked 1
attempt 2
attempts 1
aviendha 1
awry 1
aybara 2
bashere 1
becomes 1
been 1
behaving 1
book 4
both 2
bowl 2
brought 1
by 6
cairhien 1
callandor 3
called 1
causing 1
cauthon 1
channelers 1
channeling 1
claims 1
climate 1
coalition 1
control 2
crown 1
dagar 1
dark 1
dashiva 1
deposed 1
destruction 1
done 1
dragon 1
due 1
earlier 1
early 1
egwene 1
elayne 2
end 2
erratically 1
escape 1
fail 1
faile 2
fatigued 1
fealty 1
finally 1
fires 1
followers 1
following 1
for 1
forcing 1
from 5
ghealdan 2
giving 1
go 1
goes 1
had 2
halves 1
he 3
heat 1
heaven 1
her 2
him 1
illianers 1
in 5
inherent 1
injuries 1
instability 1
into 2
invasion 2
is 3
jordan 1
kidnapped 1
kill 1
later 1
lay 1
led 1
lion 1
loses 1
maighdin 1
manipulates 1
manipulation 1
masema 1
mat 1
men 1
more 1
morgase 1
moves 1
much 1
name 1
now 1
nynaeve 1
oath 1
of 16
on 2
one 2
perrin 2
power 1
prepare 1
previous 1
prophet 2
queen 2
rand 4
rebel 1
repel 1
rescues 1
returning 1
reverse 1
robert 1
same 1
seanchan 3
seat 1
secures 1
sedai 1
selfproclaimed 1
servant 1
shaido 1
siege 1
since 1
skirmishes 1
stalemate 1
stop 1
successful 1
sustained 1
swords 1
tar 1
terangreal 1
the 29
their 1
then 2
they 1
things 1
though 1
throne 1
to 12
tower 1
traitorous 1
trakand 1
travel 1
traveling 1
unknowingly 1
unnatural 1
unruly 1
use 2
uses 1
valon 1
was 1
well 1
when 1
where 1
while 1
white 1
who 3
wielding 1
winds 2
with 1
wounds 1
