9333360
/m/0284yry
/m/0284yry
Christina Lamb

16 1
a 1
account 1
africa 1
african 1
an 1
and 4
as 3
book 1
building 1
chance 1
diaries 1
encounter 1
estate 1
family 2
friends 1
gorebrowne 3
grandson 1
his 2
house 1
in 4
independence 1
interviews 1
is 1
its 1
letters 1
life 1
lusaka 1
ngandu 1
northern 1
now 1
of 5
originating 1
papers 1
personal 1
photographs 1
pioneer 1
politician 1
relation 1
rhodesia 1
settler 1
shiwa 1
soldier 1
sources 1
stewart 1
supporter 1
the 4
those 1
to 1
uses 1
well 1
white 1
with 3
zambia 1
