5874603
/m/0466pd4
/m/0466pd4
Piers Anthony
1984-07-12
{"/m/01hmnh": "Fantasy"}
20 1
a 14
ability 2
about 2
accepts 1
advanced 1
adventure 2
adventures 1
affair 2
after 2
again 2
alive 2
all 7
allowing 1
also 1
among 1
an 6
and 15
andor 1
antidote 1
anywhere 1
approached 1
as 4
asks 2
aspect 1
aspects 1
at 2
attached 1
attempted 1
awkward 1
back 6
backwards 6
bad 1
baits 1
bang 1
bat 1
be 1
became 1
because 1
been 1
begin 1
beginning 1
being 1
bems 1
beyond 1
big 1
birthor 1
black 1
bloodline 1
book 1
both 2
brought 1
but 2
by 9
campaign 1
can 4
cannot 1
character 1
check 1
child 3
chronos 2
claims 2
clearof 1
clotho 1
commits 1
committing 1
conception 1
consulting 1
continue 2
created 2
current 1
dead 1
death 1
demon 5
depressed 1
device 1
difficult 1
disastrous 1
discredit 1
disease 1
disembarked 2
disguise 1
does 2
doesnt 3
due 2
durston 1
earth 4
earthly 1
elected 1
else 1
end 1
ends 1
epic 1
even 1
events 1
eventually 2
everyone 1
evidenced 1
evil 1
experiments 1
explaining 1
explains 1
exploit 1
extend 1
fact 1
falls 1
family 1
fantasy 1
fate 3
father 1
favor 1
feeling 1
few 1
finds 1
first 2
fix 1
flows 1
fooled 1
for 1
fortymdashis 1
forward 1
forwardliving 1
forwards 1
from 5
fulfill 1
future 4
gaea 1
gawain 6
get 3
ghost 2
girlfriend 1
given 1
gives 2
giving 1
go 3
goes 2
going 1
grant 1
had 4
halt 1
happen 1
have 4
having 1
he 11
help 1
her 2
him 9
his 14
holder 3
holes 1
home 1
hourglass 7
how 1
however 3
if 2
illusion 1
illusions 2
immediately 1
impossible 1
in 26
incarnation 3
incarnations 4
incumbent 1
informed 1
informs 1
interact 1
intercepting 1
into 3
intriguing 1
involved 1
is 17
isolated 1
it 4
its 1
kaftan 1
keep 1
leads 1
leave 1
left 1
life 2
likeness 1
limitations 1
literally 1
live 1
lives 2
living 5
longer 1
love 1
luna 5
made 1
magic 1
magical 1
make 2
making 1
man 5
manages 1
many 1
matter 1
millions 1
mischief 1
moment 1
more 2
mortals 1
most 1
much 1
must 1
named 1
nature 1
needed 1
needs 1
never 2
new 1
no 1
nomadic 1
normally 1
norton 28
nortonmdasha 1
not 4
novel 1
observable 1
of 22
offers 2
office 4
on 3
once 1
one 2
onto 1
opera 1
order 2
orlene 5
other 6
others 1
out 3
over 1
own 1
pass 1
past 6
permeates 1
place 1
planets 3
point 3
politician 1
politics 2
position 2
power 2
powerful 1
predecessor 1
prevent 1
previous 2
prophecy 1
protect 1
purgatory 1
realises 1
reality 1
realizes 1
recognized 1
relationship 1
relic 1
residence 1
residing 1
results 1
reverse 1
rule 1
run 1
runs 1
samples 1
satan 12
save 1
see 1
self 1
she 3
show 1
since 4
so 4
some 3
space 1
spot 1
starts 2
still 2
stop 1
stops 1
story 1
suicide 3
sure 1
take 1
tangles 1
technology 1
temporarily 1
than 1
thanatos 1
thanatosin 1
that 16
the 52
then 5
things 1
this 8
though 1
threads 1
thwarting 1
time 15
to 39
toying 1
trapped 1
trapping 1
travel 4
traveling 1
tries 1
trying 1
turned 1
two 1
unfortunately 1
universe 2
until 1
up 2
use 1
uses 1
visible 1
visited 1
wandering 1
way 2
went 1
were 1
when 3
where 4
while 1
who 4
whole 1
whom 1
widow 1
will 4
with 10
words 1
work 1
world 2
would 1
years 4
young 1
youngest 1
zane 2
