4312709
/m/0bwjmd
/m/0bwjmd
Matthew Stover

a 4
actor 2
actors 1
advanced 1
adventures 2
alternate 1
an 1
and 6
ankhana 2
another 1
are 1
assassin 1
assume 1
between 1
blocked 1
book 1
both 2
by 4
caine 2
captured 1
carry 1
causes 1
conflict 1
death 1
defeat 1
earth 1
emperor 1
estranged 1
existence 1
famous 1
final 1
finds 1
forget 1
from 1
group 2
hari 2
he 1
her 1
himself 2
his 1
human 1
ill 1
in 2
is 5
kingdom 1
libertarian 1
maelkoth 3
mage 1
manipulated 1
members 1
michaelson 1
must 1
nowmentally 1
of 6
on 4
one 1
order 1
others 1
out 3
overworld 4
pallas 3
people 1
persona 1
plan 1
playing 1
plays 1
powers 1
professor 1
remainder 1
resistance 3
ril 2
rule 1
save 1
shanna 1
son 1
spell 1
studio 1
technology 1
that 1
the 11
them 1
then 1
they 1
this 1
through 1
to 5
travel 1
use 1
which 1
while 1
who 1
wife 1
wiping 1
world 1
