2045753
/m/06h97s
/m/06h97s
James McBride

12 1
130s 1
2010 1
40s 1
50s 1
a 15
able 1
abortion 1
about 2
abused 1
action 1
activities 1
after 2
allow 1
also 1
always 1
an 2
and 22
andrew 3
another 1
any 1
as 4
at 8
aunt 3
away 1
be 2
became 1
become 1
been 1
before 2
began 2
behavior 2
betsy 1
birth 1
black 4
blacks 1
boyfriend 1
brother 1
but 3
by 1
cancer 1
care 1
causing 1
check 1
child 2
childhood 1
children 4
come 1
commitment 1
confused 1
cope 1
could 1
counter 1
customers 1
dabbled 1
dangerously 1
deal 1
dealing 1
death 1
decided 1
delinquent 1
dennis 1
did 2
didnt 1
died 3
discovered 2
doing 1
drugs 2
easier 1
eight 2
eighth 1
emotional 1
even 1
eventually 1
ewing 1
extremely 1
factory 1
failed 1
fall 1
family 3
father 3
fear 1
fell 2
find 1
first 2
for 5
four 1
frances 1
friend 1
friends 1
future 1
gave 2
gentiles 1
get 1
got 1
grades 1
grew 1
grocery 1
had 8
hard 1
have 1
having 1
he 10
heavily 1
helped 1
her 17
hid 1
him 7
himself 1
his 16
home 2
homework 1
hospitalized 1
household 1
however 1
hung 1
hunter 1
husband 1
identity 1
ill 1
in 14
into 2
it 3
james 4
january 1
jersey 1
jewish 2
job 1
jobs 1
jordan 1
lack 1
later 3
leather 1
led 2
life 2
lifestyle 1
live 1
living 1
long 1
look 1
losing 1
love 1
lung 1
made 1
mainly 1
man 2
many 1
married 1
mary 1
mcbride 4
mean 1
members 1
met 2
more 3
mother 7
music 1
mystery 1
named 3
never 1
new 3
no 1
normal 1
not 1
obey 1
of 10
older 1
on 2
oppose 1
or 3
order 1
out 3
outrageous 1
owned 1
passing 1
past 2
peter 3
plummeted 1
pregnancy 1
pregnant 1
problems 2
purpose 1
put 1
rabbi 1
racial 1
reformed 1
relative 1
remarried 1
repressed 1
responsibilities 1
returns 2
ruth 13
said 1
sam 1
scared 1
school 2
secret 1
secretly 2
segregation 1
self 1
sent 2
sexually 1
she 8
shilsky 1
siblings 1
so 1
something 1
soon 2
spoke 1
stay 1
stepfather 2
still 1
store 2
straighten 1
struggled 1
suffolk 1
summer 1
supportive 1
taboo 1
that 4
the 7
their 1
there 2
they 4
though 1
time 1
times 1
to 15
told 1
too 2
transition 1
until 1
up 1
upbringing 1
very 1
virginia 1
was 7
weed 1
went 1
were 1
what 2
whatever 1
when 2
where 1
which 1
while 1
who 1
whose 1
with 8
work 1
would 1
york 1
