6403476
/m/0g41t1
/m/0g41t1
Stephen Hunter
1997-04-07
155 3
a 7
about 3
after 1
agent 1
also 1
and 13
appear 1
appears 2
approaches 1
are 3
arizona 1
arkansas 1
as 2
avoid 1
between 2
black 1
blue 1
bob 7
book 2
boys 1
bud 1
by 1
case 1
catches 1
characters 1
cia 1
connection 1
conspiracy 1
contrasts 1
county 1
daughter 1
deals 2
death 3
deeper 1
described 1
details 2
dirty 1
donnie 1
down 1
drawn 1
during 1
earl 4
events 3
eye 1
fallen 1
father 3
feelings 1
fenn 2
five 1
for 1
former 1
four 1
frenchy 1
gained 1
girl 1
give 1
grown 1
gunned 1
happily 1
has 2
havana 1
he 4
hidden 1
him 1
his 4
history 1
home 1
hot 1
humbly 1
hunter 1
if 1
impact 3
in 17
include 1
including 1
insight 1
interconnected 1
interconnecting 1
into 2
involves 1
is 7
jimmy 1
julie 1
keep 1
lamar 2
later 1
leading 1
lee 6
living 1
man 2
married 1
more 1
murderer 1
name 1
named 1
near 1
night 1
nikki 1
not 1
notoriety 1
novel 2
novels 2
now 1
of 15
old 1
one 3
other 1
part 1
periods 2
pewtie 3
plot 1
plots 1
point 3
polk 1
present 2
probe 1
proposition 1
prosecution 1
prosecutor 1
protg 1
pye 1
race 1
reader 1
reconcile 1
reinvestigation 1
relations 1
responsible 1
revelations 1
role 1
roles 1
russ 4
saladin 1
sam 2
second 1
set 2
several 1
short 1
signature 1
simultaneously 1
some 1
son 1
spotter 1
springs 1
startling 1
struggle 1
surrounding 1
swagger 3
than 1
that 2
the 27
them 1
there 2
these 2
this 3
time 1
to 5
town 1
trying 1
two 4
unfold 1
up 2
various 1
very 1
vincent 3
wants 1
was 2
well 1
which 1
while 1
white 1
who 6
widow 1
with 4
write 1
writer 1
years 2
young 3
