18327869
/m/04cqnmf
/m/04cqnmf
Caroline Lawrence
2008
a 10
accomplished 1
adventure 1
africa 1
alexandria 1
all 1
almost 1
an 1
and 9
as 5
at 1
back 1
be 2
beauties 1
because 1
become 1
believes 1
boat 1
both 1
but 2
by 2
camels 1
caravan 1
claims 1
cleopatra 1
committed 1
companions 1
could 1
cross 1
dangers 1
defying 1
descended 1
desert 2
despite 1
diana 1
discover 1
do 1
drowning 1
during 1
easy 1
emerald 2
emperor 3
father 2
find 2
flaccus 1
flavia 3
from 3
furious 1
gaius 2
gem 1
general 1
goddess 1
goes 1
gone 1
had 1
handle 1
has 2
he 2
her 6
hires 1
house 1
immediately 1
in 3
inside 1
is 6
it 1
italy 1
join 1
keen 1
late 1
learn 1
looking 1
lose 1
lost 1
man 1
marriage 1
meet 1
men 1
mission 1
money 1
musicians 1
narcissus 1
nero 1
north 1
not 1
nubia 1
of 4
on 1
opinion 1
orders 2
pantomime 1
particularly 1
performer 1
performers 1
possessions 1
prophecy 1
proposal 1
refusal 1
renounce 1
sabratha 1
sahara 1
she 3
so 1
start 1
stay 1
subject 1
suicide 1
supposed 1
take 2
takes 2
tested 1
that 1
the 14
their 1
them 3
there 1
they 5
three 1
titus 1
to 13
travel 1
uncle 1
unusual 1
volubilis 1
vow 2
wants 1
weeks 1
well 1
where 1
which 2
while 1
who 2
woman 1
