3603770
/m/09pb92
/m/09pb92
Mel Odom
2001-01
a 5
about 2
acts 1
ago 2
all 1
an 1
and 3
anyone 1
arrives 2
as 2
at 1
attraction 1
beautiful 1
begin 1
brother 1
buffy 1
but 1
called 1
cave 1
chinese 1
coinciding 1
committing 1
criminal 1
death 1
delving 1
demon 1
died 1
discovered 1
doesnt 1
effects 1
else 1
events 1
feeling 1
feels 1
for 1
friends 1
gang 1
give 1
grandfather 1
great 1
he 1
her 3
him 1
immediate 1
immediately 1
in 6
increase 1
into 1
is 3
jia 1
just 1
know 1
learn 1
li 1
lok 1
man 1
many 2
men 1
more 2
named 1
occult 1
of 1
on 1
one 1
order 2
over 1
power 1
racial 1
raise 2
return 1
same 1
scene 1
sharmma 1
she 2
shing 1
something 1
strong 1
suddenly 1
sunnydale 2
tension 1
than 1
that 4
the 6
their 1
there 1
these 1
theyre 1
time 1
to 4
town 1
trying 1
warrior 1
willow 1
with 1
would 1
xander 1
years 2
zhiyong 1
