7870564
/m/026gzfs
/m/026gzfs
Susanna Rowson


15 1
a 14
abandons 1
admits 1
adventures 1
advice 1
america 1
american 1
an 2
and 21
angrily 1
any 1
arrives 1
as 2
asks 3
at 1
attends 1
back 1
beauchamp 4
become 1
beginning 1
begins 1
being 1
belcour 6
believe 1
belongs 1
benevolent 1
between 1
birth 1
boarding 1
book 1
brings 1
british 2
burial 1
but 2
by 4
care 2
charlotte 15
child 4
come 1
composed 1
convent 1
crayton 3
dashing 1
day 2
death 2
deathbed 1
decide 1
dies 1
discovered 1
discovering 1
doctor 2
does 1
doorway 1
downfall 3
early 1
effort 1
elegant 1
eloped 1
encounter 1
end 1
ends 1
england 1
errors 1
even 2
example 1
expects 1
father 2
fear 1
fight 1
filled 1
financial 1
following 2
for 7
former 3
friend 2
from 4
genre 1
get 1
girl 3
give 1
gives 1
goes 2
had 1
hands 1
has 2
having 1
help 3
her 25
herself 1
him 3
his 5
home 1
hope 2
hospital 1
house 1
however 2
husband 2
ill 1
in 14
infidelty 1
interest 1
into 1
intrigue 1
involvement 1
is 6
it 1
john 1
just 1
killing 1
know 1
la 4
last 1
leads 1
learning 1
leave 1
led 1
libertine 1
lieutenant 1
life 1
literature 1
little 1
living 1
london 1
long 1
loses 1
lucy 1
lying 1
mademoiselle 3
making 1
melancholy 1
member 1
might 1
mind 1
misery 1
money 1
montraville 8
mother 1
mr 3
mrs 7
much 1
nature 1
neighbor 1
new 3
newfound 1
not 2
novel 3
now 2
of 17
officer 1
on 3
only 2
opens 1
out 1
parents 1
part 1
passing 1
played 1
poor 1
popular 1
possessed 1
poverty 1
pregnant 1
pretends 1
prosperous 1
put 1
receive 1
recognizes 1
recover 1
recovering 1
remain 1
remorse 1
repentant 1
respectable 1
rest 1
returning 1
role 1
rue 4
school 1
schoolgirl 1
search 1
seducing 1
seduction 2
seeks 1
seems 1
separated 1
servant 1
sets 1
shame 1
she 5
shocked 1
snowy 1
society 1
soldier 2
soon 2
spirit 1
spite 1
striking 1
succeeds 1
such 1
sufferer 1
suffers 1
support 1
take 2
taken 1
takes 1
tall 1
teacher 1
tells 2
temple 5
that 2
the 26
there 1
to 19
tolerably 1
too 1
towards 1
trusts 1
unexpected 1
upon 2
useful 1
vice 1
walked 1
wealthy 1
when 1
where 1
who 2
winter 1
with 4
without 2
woman 2
writes 1
york 3
young 2
