1091502
/m/0457ln
/m/0457ln
Geoffrey Chaucer

78 1
858 1
a 34
abundance 1
accompanied 1
al 1
all 1
and 14
april 1
are 1
array 2
as 2
at 2
back 1
bailly 1
bath 1
be 1
beckett 2
best 2
bigynne 1
brother 1
by 3
called 1
canterbury 2
carpenter 1
chaucer 3
clerk 1
condicioun 1
condition 1
contest 1
cook 1
degree 2
describe 1
description 1
doctor 1
dyer 1
each 1
earth 1
ech 1
eek 1
end 1
england 1
english 1
falls 1
fertility 1
first 1
folk 1
frame 1
franklin 1
free 1
friar 1
general 1
geoffrey 1
given 1
go 1
goal 1
group 2
haberdasher 1
harry 1
he 1
hem 1
himself 1
his 2
host 2
i 1
in 6
include 1
inhabitants 1
inne 1
is 6
it 1
its 1
knight 2
knyght 1
largest 1
law 1
life 2
line 1
lines 1
make 1
man 1
manciple 1
me 1
meal 1
meets 1
merchant 1
middle 1
miller 1
monk 1
month 1
moost 1
narrator 3
nun 2
of 21
on 4
out 1
pardoner 1
parson 1
part 1
people 1
physic 1
pilgrim 1
pilgrimage 1
pilgrimages 2
pilgrims 2
plowman 1
poem 1
portrait 1
praises 1
priest 1
prioress 1
prologue 3
prompts 1
proposes 1
rains 1
reeve 1
religious 1
restore 1
saint 1
says 1
second 1
section 1
seeks 1
semed 1
sentence 1
sergeant 1
set 1
setting 1
shipman 1
shrine 2
singing 1
site 1
so 1
social 1
solaas 1
son 1
southwark 1
squire 1
starts 1
stories 1
story 2
storytelling 1
such 1
summoner 1
sundry 1
tabard 1
taken 1
tapestry 1
tell 1
telle 1
tells 1
than 1
that 2
the 32
their 3
them 1
they 2
this 1
thomas 2
to 7
two 2
up 2
warm 1
way 3
weaver 2
were 1
weren 1
western 1
what 2
where 1
which 1
whiche 1
who 1
whoever 1
whose 1
wife 1
will 1
wind 1
with 2
wol 1
yeoman 1
yow 1
