15958476
/m/03qj821
/m/03qj821
Marc Acito
2004-09
a 14
about 2
absence 1
actor 1
admits 1
adventures 1
after 2
agrees 1
al 4
all 1
almost 1
also 1
america 1
an 2
and 32
anything 1
apart 1
apartment 1
are 6
around 2
arrested 2
as 1
asks 1
at 2
audition 3
aunt 1
avoiding 1
back 3
bar 2
be 3
because 2
becoming 1
bed 1
been 1
begins 1
big 1
bisexual 1
blackmail 1
boyfriend 1
breaks 2
bringing 1
buddha 5
business 1
but 5
by 1
called 1
calls 1
cant 2
car 1
cases 1
celebrate 1
ceramic 1
characters 2
choice 1
choir 1
close 1
closer 1
college 5
come 1
convinced 1
counter 1
create 1
creative 1
cut 1
dagmar 9
dating 1
dc 1
dead 1
decide 2
decides 1
declares 1
didnt 1
discovered 1
discussion 2
divorce 2
do 2
does 1
doesnt 1
doing 1
doug 7
dougs 1
down 1
dream 1
driving 1
during 1
ed 1
edward 26
edwards 4
end 2
ends 1
even 1
eventually 1
everybody 1
falls 1
father 6
fathers 1
feeling 1
feelings 1
financially 1
finding 1
finds 4
fits 1
flair 1
fluent 1
followed 1
fooling 1
for 12
form 3
friends 1
gay 2
german 1
get 6
gets 2
getting 2
girlfriend 1
girls 1
glo 1
go 3
goals 1
godspell 1
goes 7
going 1
good 1
got 1
green 1
grow 1
grows 1
hang 1
has 3
hates 1
have 3
having 1
he 20
her 6
him 7
himself 1
hindered 1
his 18
home 1
hotel 1
house 1
how 1
however 2
hung 1
identity 1
if 2
illegal 1
in 13
incriminating 2
independent 1
into 2
invites 1
is 8
it 10
job 2
journey 1
juilliard 3
just 1
keeps 2
kelly 8
know 1
knows 1
language 1
late 2
learn 1
learns 2
leave 1
leaves 1
let 1
life 1
lines 1
little 1
live 1
losing 1
lot 1
love 1
lucas 1
lunatic 1
madcap 1
married 1
may 1
means 1
meets 1
mom 1
moment 1
money 4
more 1
morning 1
mother 2
moves 1
mr 1
much 1
must 2
natie 1
native 1
needs 3
negotiating 1
new 2
not 1
novel 1
now 1
of 14
on 2
one 1
order 1
out 10
over 2
papers 1
party 1
passing 1
past 2
paula 2
pay 5
people 1
phenomenally 1
phone 1
pick 1
pictures 3
plan 1
play 2
production 1
progresses 1
prove 1
put 1
quiet 1
quits 1
ranting 1
raving 1
really 2
reassured 1
reduced 1
refuses 2
remember 1
repeated 1
reported 1
return 1
returns 1
revealing 1
says 2
scholarship 4
school 2
sees 1
separate 1
sex 2
sexual 1
short 1
show 1
sister 1
so 4
some 2
somewhere 1
south 1
speech 1
spiritual 1
split 1
spot 1
steal 2
stealing 1
step 1
stole 1
stolen 1
stopped 1
strong 1
suburbs 1
summer 3
sure 1
take 2
takes 1
taking 1
teacher 1
that 11
thats 1
the 28
their 2
then 5
they 9
this 2
throws 1
to 37
trip 1
turns 1
ultimately 1
unless 1
up 7
use 1
used 1
vandalism 2
virginity 1
visits 1
vitality 1
vomiting 1
wakes 1
wants 3
was 2
washington 1
way 1
ways 1
well 2
what 2
when 2
which 2
while 3
who 2
whole 1
will 2
with 6
without 1
world 1
yes 1
york 2
ziba 3
