3050412
/m/08n521
/m/08n521
Robert Ludlum
2002-10-15
{"/m/06wkf": "Spy fiction", "/m/02xlf": "Fiction"}
a 10
after 1
agency 1
alan 1
all 1
also 1
an 1
and 9
are 1
arranged 1
as 2
asks 1
assassinated 1
at 1
be 1
been 1
beyond 1
billionaire 1
boss 1
both 1
brilliant 1
bullets 1
but 1
by 3
called 1
can 1
captured 1
choose 1
commander 1
comrades 1
cong 1
conspiracy 1
consular 2
consultant 1
contact 1
corporate 1
countries 1
covert 1
crimes 1
death 1
debt 1
decades 1
demand 1
demarest 3
difficult 1
directive 2
dodging 1
escaped 1
eventually 1
evidence 1
execution 1
exnavy 1
exposed 1
faced 1
finding 1
finds 2
foe 1
for 3
former 2
foundations 1
frame 1
friend 1
from 2
goes 1
government 3
hands 1
has 1
haunted 1
he 6
her 1
highest 1
him 3
himself 3
his 5
horribly 1
hostage 1
if 1
in 2
intends 1
into 1
is 5
issued 1
janson 9
job 1
jobs 1
kill 1
laureate 1
led 1
levels 1
lives 1
living 1
loved 1
makes 2
matters 1
meanwhile 1
member 1
memories 1
mentor 1
militant 1
much 1
mysterious 1
mystery 1
nobel 1
novak 2
now 1
of 10
officials 1
old 1
on 1
operations 2
organization 1
out 1
own 1
paul 1
peace 1
peter 1
pick 1
plane 1
provided 1
psychopath 1
question 1
repay 1
rescue 2
rock 1
sadistic 1
salvage 1
save 1
seal 1
security 1
senior 1
several 1
she 1
so 1
solve 1
taken 1
takes 2
taking 1
target 1
termination 1
that 2
the 14
then 1
title 1
to 8
tortured 1
toy 1
tries 1
unfortunately 1
us 3
viet 1
vietnam 1
visionary 1
waiting 1
wanted 1
war 2
was 1
when 1
which 3
while 2
who 4
will 1
with 3
woman 1
world 1
wrong 1
