2336126
/m/074nbz
/m/074nbz
Roger Zelazny
1973
a 23
abandons 1
about 2
accomplished 1
across 1
after 1
again 2
all 8
allowed 1
along 1
also 4
although 1
an 4
and 19
angelo 2
animation 1
another 3
answers 1
appears 1
are 9
armed 1
armored 1
arriving 1
artificial 1
as 7
assassin 1
assassinate 1
assault 1
at 1
attack 1
attacked 1
attempting 1
avowed 1
back 1
bad 1
battles 1
be 3
became 1
becomes 5
been 2
beginning 1
begins 1
being 2
better 1
black 9
blasted 1
board 1
body 1
break 1
breed 1
brought 1
building 1
but 6
by 9
cabal 9
cache 1
can 3
capable 1
capsule 1
centuries 1
characteristics 1
charge 1
circuit 1
cleansing 1
clone 2
clones 3
cloning 1
collective 1
commit 1
completes 1
computer 3
conflicting 1
connected 1
connection 1
consciousness 1
continue 1
cracks 1
criminal 1
dead 1
deal 2
dealing 1
death 3
defenses 2
degraded 1
demon 1
described 1
describes 1
desk 1
despite 1
di 1
did 1
dies 1
different 1
disembodied 1
do 2
does 1
dogged 1
doing 1
down 1
downfall 1
each 5
earlier 1
effort 1
entirely 1
environments 1
escape 1
escaped 1
etc 1
even 1
events 1
eventually 2
everything 1
evidently 1
evil 1
extinction 1
face 1
facility 1
factories 1
failure 1
father 1
features 1
few 1
fight 2
fighting 1
fights 1
final 2
finally 1
finds 1
first 2
fit 1
foot 1
for 1
forced 1
formidable 1
fortified 1
free 1
from 4
further 1
future 1
get 1
gets 1
given 1
gradually 1
groundattack 1
grows 1
handheld 1
has 11
have 2
he 14
heavily 1
helped 1
him 1
his 11
history 1
house 7
human 1
humanity 3
hunted 1
hunter 1
hunts 1
in 22
inevitable 1
instincts 1
intent 1
interface 1
internal 1
involves 1
is 22
it 6
its 2
job 1
jolts 1
killed 1
killer 2
killing 1
kills 2
know 1
known 1
landscape 1
last 2
left 2
legitimate 1
let 1
levels 1
like 1
list 1
live 1
lived 1
locates 1
loose 1
mafia 1
maintenance 1
managed 1
manifest 1
manipulating 1
manufacturing 1
many 1
may 1
member 2
members 1
memories 4
menace 1
message 1
mirrors 1
mission 1
mocking 1
moment 1
more 5
most 1
mostly 1
motif 1
motives 1
mr 3
named 1
narration 1
narrator 11
near 1
negri 10
nemesis 1
never 1
new 1
next 3
nexus 3
not 2
nothing 1
novel 3
novels 1
now 2
null 3
obvious 2
occasionally 1
of 21
off 1
offices 3
old 2
on 7
once 1
one 12
only 3
open 1
opening 1
organization 1
origins 1
other 1
others 2
otherwise 1
out 1
outdoors 1
outside 1
over 1
part 2
party 1
passages 1
passes 2
people 2
persistent 1
person 1
personality 3
phase 1
phone 3
pin 3
pins 3
place 1
planet 2
predecessor 1
preserve 1
psychic 1
pulled 1
pulling 1
puresf 1
purpose 1
pursuit 1
quickly 1
realizes 2
really 1
recent 1
reduced 1
related 1
remember 1
remnants 1
remove 1
removed 2
removing 1
represent 1
residential 1
restored 1
revealing 1
revived 1
rid 1
rings 3
run 1
running 1
ruthless 1
same 1
scattered 1
scene 1
scientist 2
secret 1
section 1
sections 1
seeing 1
seems 3
series 2
service 1
set 1
sets 1
setting 1
shut 1
simply 1
slowly 1
smile 1
so 3
society 1
some 7
somehow 1
someone 1
space 2
stages 1
stiletto 1
stolen 1
story 4
successors 1
suicide 1
suppress 1
suppressed 1
survive 1
suspended 1
take 2
taken 1
technology 2
tells 2
that 7
the 92
their 1
themselves 1
then 1
there 2
they 2
thing 1
this 7
through 3
throughout 2
time 2
to 30
tow 1
traits 1
transfer 2
transfers 2
tries 1
tunnels 1
turn 1
undesirable 1
unexplained 1
uninhabited 1
unknown 1
until 2
unwanted 1
various 1
vehicle 1
version 1
victim 1
voice 2
war 1
was 2
way 3
weapons 1
were 1
where 4
which 5
while 1
who 5
whose 1
why 1
wing 3
wings 4
with 12
within 1
woman 4
works 1
wormholes 1
zelazny 1
