5405446
/m/0dkcxt
/m/0dkcxt
John Scalzi
2005
10 1
65which 1
75year 1
a 22
able 1
about 1
accepts 1
adopted 1
advance 1
advertisement 1
advertisements 1
advisory 1
after 4
alien 1
allowed 1
allowing 1
allows 2
almost 1
also 1
among 1
an 3
and 19
apparent 1
applicants 1
are 6
armed 1
artificial 1
as 5
assaulted 1
at 2
attempt 1
based 1
basic 1
battle 3
battles 1
be 2
been 3
before 1
beginning 1
begins 1
being 2
beta 1
bizzare 1
blood 1
body 2
book 1
born 1
borrowed 1
both 1
brainpala 1
brigades 3
but 1
by 6
bye 1
can 2
captain 1
capture 1
catlike 1
cdf 9
chain 1
clear 1
clone 1
colonial 1
colonists 1
command 2
communicate 1
conclude 1
conclusion 1
conquered 1
consu 4
coral 4
covandu 2
craft 1
crash 1
creed 1
critically 1
data 1
dead 2
deceased 1
deeds 1
defense 1
despite 1
destroy 2
destroyed 1
dexterity 1
discovers 1
distress 1
dna 2
down 2
drives 1
dub 1
dubious 1
during 3
earth 2
elevator 1
enables 1
end 1
engagement 2
enhanced 2
enormous 1
escape 1
eyes 1
eyesight 1
farts 2
feat 1
fellow 1
fierce 1
first 2
fleet 1
followed 1
following 2
for 5
forces 4
friends 1
frivolity 1
from 5
full 1
gather 1
get 1
ghost 3
given 1
good 1
grave 1
green 1
group 1
grown 1
had 1
has 4
have 3
he 4
henry 1
her 3
heritage 1
him 1
his 9
holds 1
hope 1
hudson 1
human 1
iii 1
improvises 1
in 9
including 1
incredibly 1
information 2
instrumental 1
insular 1
intelligent 1
intent 2
interface 1
interplanetary 1
invasion 1
is 9
jane 8
job 1
john 7
join 1
joins 1
kathy 4
killing 1
kind 1
knowledge 1
lands 1
last 2
leader 2
learn 1
learning 1
learns 1
left 1
legally 1
letter 2
lieutenant 1
life 2
liliputian 1
location 1
loses 1
machines 1
made 1
major 1
make 1
manipulates 2
mantra 1
master 1
meeting 1
meets 1
members 1
memories 1
mentally 1
military 1
mind 1
modesto 1
modified 1
more 1
most 1
musculature 1
mysterious 1
neural 1
never 1
new 2
no 1
not 1
novel 1
now 2
number 3
of 31
old 3
on 3
one 2
only 1
operation 1
or 1
orgies 1
original 1
other 2
others 2
out 2
outcome 1
outside 1
over 1
participate 1
participates 1
particular 1
perry 18
person 1
physically 1
planet 1
plans 1
platoon 1
possible 1
predatory 1
predict 2
previous 1
prior 1
products 1
promote 1
promoted 1
proprietary 1
protect 1
psychological 2
pyxis 1
quick 1
quickly 1
rapidly 1
realborn 1
received 1
recruits 1
regular 1
relating 1
religiously 1
repaired 1
required 1
rescue 1
rescued 1
research 1
retired 1
retiree 1
return 1
returns 1
reuniting 1
rifleman 1
ritualistic 1
role 1
rraey 3
sagan 2
saving 1
say 1
seeks 1
senses 1
separation 1
sergeant 1
series 1
service 1
several 1
share 1
she 1
shipped 1
ships 1
shot 1
should 1
shuttle 1
sight 1
sign 1
signed 1
skin 1
skip 1
small 2
somehow 1
soon 1
space 1
special 2
species 1
states 1
story 2
strength 1
struck 1
successful 1
suffer 1
supplemented 1
surface 1
tachyon 1
tactic 1
takes 1
taught 1
team 1
technology 2
tells 1
terms 1
tests 1
that 5
the 52
their 2
them 1
themselves 1
then 2
they 2
thinking 1
this 5
though 1
thought 1
through 1
tiny 1
to 30
track 1
tracks 1
training 2
trajectory 1
transferred 2
transformed 1
transport 1
turns 1
two 1
ultimately 1
united 1
units 1
unlike 1
upon 1
use 1
using 1
vessel 1
vessels 1
veteran 1
violently 1
visiting 1
volunteers 2
warseasoned 1
was 1
week 1
weeks 1
whaidians 1
what 1
when 3
where 2
which 4
while 1
who 4
wife 3
win 1
with 6
writer 1
years 1
yellow 1
zealous 1
