2528252
/m/07l47v
/m/07l47v
Timothy Findley
1977
107 1
122 1
28th 1
30000 1
a 58
abandoned 1
ablaze 3
about 2
above 1
absentia 1
accidentally 1
across 1
act 1
actually 1
advantage 1
after 5
against 1
ahead 1
aim 1
alive 1
all 9
allows 1
along 1
already 2
also 1
an 7
and 74
animals 2
approaches 1
are 6
area 2
arms 2
army 3
around 2
arrives 1
as 15
asks 1
at 14
attack 2
attacks 1
attempt 1
attempted 1
aubyn 1
aving 1
away 1
back 6
badly 2
barbara 5
barn 9
bath 1
bathtub 1
battle 2
be 9
beaten 1
because 6
bed 1
been 3
before 5
begin 2
begins 2
being 3
beneath 1
beside 2
best 1
between 3
big 1
binoculars 1
bird 3
birds 1
black 3
bleed 1
bloody 1
bond 1
bonnycastle 1
both 1
bottles 1
bottom 1
box 1
bring 1
brink 1
broke 1
brothel 1
bruises 2
brutally 1
budge 1
building 2
builds 1
burial 1
buried 2
burned 1
burning 2
burns 1
but 7
by 10
called 1
calls 1
came 2
canadian 1
canadians 1
candle 2
candles 2
caps 1
captain 6
cares 2
carrying 1
caught 1
chapter 1
charge 1
charity 1
chirping 1
cigarette 1
circles 1
civil 1
climbing 2
close 1
clothes 1
cold 1
collapsed 1
come 2
company 1
confronted 1
contemplates 1
control 1
convoy 1
costume 1
could 5
country 1
courtmartialed 1
covered 1
crack 1
crater 5
cremated 1
cut 1
day 1
days 2
dead 1
death 3
deathtrap 1
decides 3
devastated 1
devlin 6
diary 1
die 3
died 2
dies 1
disappointed 1
discovers 1
disobeying 2
distance 1
do 4
does 1
dog 5
door 1
doors 1
dorsey 4
down 4
dress 1
drowns 1
drunk 1
dry 1
dsol 1
dugout 2
during 1
each 1
ejaculated 1
ella 2
else 1
encounter 1
end 3
ends 1
enemy 1
england 2
enlisted 1
entries 1
eugene 3
euthanasia 1
even 3
eventually 1
every 1
everything 2
evidence 1
exist 1
experiencing 1
extremely 1
eyes 1
face 1
faced 1
faces 1
fall 1
falling 1
falls 1
family 1
feb 1
feels 2
fellow 2
field 1
figure 1
finally 2
find 1
finds 5
fire 3
fires 1
firing 3
first 3
flames 1
flees 1
floor 1
flowers 1
flying 1
fog 1
following 1
for 15
force 2
formed 1
france 2
free 1
frees 1
freezing 2
friend 3
from 8
front 1
fugitive 1
full 1
funeral 2
