7854960
/m/026gd78
/m/026gd78
Carlos Fuentes
1962
{"/m/05hgj": "Novel", "/m/0127jb": "Magic realism"}
a 15
able 1
about 1
after 1
all 1
america 2
and 18
angling 1
another 1
around 1
artemio 6
attachment 1
audiotapes 1
awareness 1
became 1
because 1
betrayal 1
betrayals 1
between 1
birth 1
blames 1
body 1
brilliant 1
but 2
by 2
c 1
calls 1
cancer 1
cant 1
cheated 1
childhood 1
church 1
civil 3
clear 1
come 1
companies 1
confession 1
corrupt 3
corruptlies 1
crowds 1
cruz 5
cruzsoldier 1
daughter 1
dealing 1
dealings 1
death 5
deathbed 2
decay 1
dedicated 1
delirium 1
describing 1
development 1
diplomats 1
done 1
drawnout 1
duplicate 1
during 4
dying 1
events 1
extreme 1
extremely 1
failing 1
fall 1
family 1
father 1
fever 1
fighting 1
finally 1
for 4
force 1
fraudulent 1
friend 1
from 1
fuentes 1
given 1
glimpses 1
godless 1
great 1
gringo 1
had 4
hard 1
has 2
hate 1
hates 1
he 13
hears 1
heaven 1
hell 1
her 1
heroisms 1
him 6
himself 1
his 15
hovering 1
images 1
imitate 1
immobilized 1
in 7
indulges 1
institutional 1
into 1
is 8
it 2
jesus 1
journalist 1
keen 1
kidnapped 1
knows 1
land 1
latin 1
learned 1
life 3
like 1
location 1
love 3
loved 1
lover 1
made 2
major 1
man 1
many 1
memory 1
mexican 3
mills 1
mutterings 1
narrator 1
newspaper 1
nobody 1
north 1
not 1
now 1
obscene 1
of 17
on 1
only 1
or 1
owns 1
pain 1
party 1
people 1
perhaps 2
perpetual 1
player 1
poet 1
political 1
politician 1
powerful 1
pressing 1
priest 1
prithe 1
private 1
prostitute 1
provides 1
punctuating 1
recalling 1
recalls 1
reconciliation 1
record 1
reveal 1
revolution 4
rich 2
ruthless 1
secretary 1
see 1
selfaggrandizement 1
sensual 1
seventyoneyearold 1
several 1
shaping 1
she 1
soaring 1
sociologist 1
soldiering 1
son 2
sordid 1
spanish 1
speculators 1
state 1
still 1
stroke 1
struck 1
struggle 1
suffered 1
survival 1
talk 1
the 20
their 1
thoughts 2
through 2
times 1
to 7
tracks 1
true 1
trying 1
tycoon 1
unction 1
use 1
vaguely 1
valued 1
various 1
vast 1
very 1
voice 1
war 3
was 2
wasnt 1
what 1
wheeling 1
when 1
which 1
while 1
whilst 1
who 2
whom 2
wife 2
will 1
with 5
wright 1
yet 1
