3284949
/m/093b38
/m/093b38
Piers Anthony
2005
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 7
accompany 1
adopt 1
all 2
allowed 1
also 1
an 1
and 11
annoying 1
answered 1
are 2
armies 1
as 3
avoid 1
back 1
barbarian 1
because 2
been 1
being 1
bird 2
box 1
boxes 1
bring 1
but 1
by 2
can 2
captured 1
carrying 1
case 1
cause 1
centaurs 1
charges 1
chief 1
combat 1
come 1
creatures 1
daughter 1
dead 1
death 1
decide 1
defeated 1
die 1
discover 1
disguise 1
dragons 1
equivalent 1
eventually 1
expanding 1
falls 2
family 1
fated 1
feed 1
female 1
fight 1
finally 2
find 1
first 1
for 1
from 1
get 1
gets 2
girl 1
goblin 6
goblins 2
goes 1
golem 2
good 2
goody 7
grundy 1
gwenny 1
had 1
hannah 3
harmony 1
harpies 1
has 1
have 1
he 3
her 2
him 2
himself 1
his 3
home 2
humphrey 1
ida 1
in 6
invading 1
is 4
it 1
join 1
journey 1
late 1
like 1
live 1
love 2
lunch 2
magician 2
male 1
married 1
means 1
meet 1
melody 1
menace 1
mimic 1
moons 1
mother 1
must 1
nice 2
not 1
of 6
ogres 1
on 2
one 1
only 2
or 2
other 1
out 1
over 2
peeve 4
people 1
person 1
pet 4
plantation 1
polite 1
princess 1
princesses 1
process 1
protect 1
quest 1
question 1
rapunzel 1
refuse 1
reverse 1
rhythm 1
robot 1
robots 4
see 1
service 2
she 2
so 1
some 1
spent 1
starts 1
surprise 1
take 2
that 1
the 24
their 3
they 1
throughout 1
time 1
to 14
together 1
travel 1
tribe 1
trip 1
turn 1
unfortunately 1
various 1
very 1
voice 1
was 2
we 1
which 2
who 1
whose 1
wife 2
winged 1
with 6
wood 1
world 1
xanth 3
year 1
young 1
