9719280
/m/02pq2xg
/m/02pq2xg
Luigi Pirandello

{"/m/02xlf": "Fiction"}
a 8
about 1
acquiring 1
act 1
additional 1
adjusted 1
adjustment 1
admirable 2
afresh 1
amazing 1
an 4
and 10
are 1
assumed 1
badger 1
be 1
because 1
beloved 1
brings 1
but 1
by 3
can 1
carlo 1
character 2
conclude 1
constantly 1
continuing 1
corpse 1
crises 1
crisis 1
daughters 1
day 1
deadend 1
death 4
decides 2
declared 1
delight 1
develops 1
difficult 1
discovers 1
dissolved 1
down 1
dreary 1
encounters 1
entail 1
entire 1
escape 1
europe 1
even 3
eventual 1
faced 1
fake 1
family 1
figure 1
finally 1
finds 1
first 1
followed 1
for 1
fortune 1
from 2
gained 1
had 1
has 1
have 2
he 9
him 6
himself 1
his 20
home 1
identity 1
immense 1
in 3
including 1
inheritance 1
into 1
is 1
job 1
joy 1
late 1
lead 1
liberty 1
lie 1
life 3
long 1
loved 1
loves 1
luck 1
mainstream 1
man 1
marriage 1
mattia 2
mercy 1
misdeed 1
miserable 1
misery 1
misfortune 1
monte 1
mother 2
motherinlaw 2
neglected 1
newspaper 1
now 2
of 4
off 1
on 2
one 2
only 2
opportunity 1
or 1
original 1
outside 1
own 4
part 1
pascal 2
past 1
plans 1
precious 1
precisely 1
promising 1
prompts 1
protagonist 2
proves 1
provide 1
reading 1
reduces 1
remarried 1
return 2
robs 1
rome 1
same 1
settles 1
shock 1
since 1
small 1
sneak 1
so 1
society 1
start 1
stolen 1
string 1
sudden 1
takes 1
that 5
the 7
their 1
them 1
this 1
those 1
thought 1
through 1
to 12
town 1
twicedead 1
twin 1
ultimately 1
unexpected 1
unknown 1
until 1
untimely 1
walkon 1
wanders 1
ways 1
where 1
while 1
wife 3
will 1
with 4
woman 1
yet 1
youth 1
