9633843
/m/02pmlgy
/m/02pmlgy
James BeauSeigneur

1 1
11 2
144000 1
20000 1
24 1
3 1
5 1
666 1
72 1
a 56
abducted 1
ability 1
able 1
about 6
accelerate 1
accepted 2
accuracy 1
achieve 1
actions 1
active 1
added 1
address 4
addressing 1
admitting 1
advanced 1
adventures 1
advice 1
affected 2
afflicted 2
after 16
afterward 1
again 4
against 6
age 10
aid 1
airconditioning 1
all 16
alliance 1
allies 2
allow 1
almost 3
along 2
alphabet 1
also 9
although 4
among 4
amused 1
an 9
ancestors 1
and 136
anger 2
angry 1
another 1
antarctica 1
antichrist 1
any 3
anyone 6
anything 4
apologized 1
apparently 1
appeared 1
applied 1
approval 2
aquatic 1
are 7
area 1
areas 1
arguments 1
arm 1
armies 1
around 5
arrange 1
arrived 2
as 28
assassination 1
at 7
ate 1
attacked 2
attacks 1
attempt 2
attempted 1
attributes 1
avalanches 1
avoid 1
avoided 2
away 3
awe 1
babel 1
babylon 8
back 4
balks 1
bandages 1
banning 1
bases 1
battle 1
be 15
bear 1
bearing 7
beast 1
became 2
because 1
become 2
becoming 1
been 9
before 7
began 5
begin 1
begins 1
behavior 3
being 5
beings 2
believing 1
bereft 1
bert 4
best 1
between 1
bible 4
birth 1
bit 2
black 1
blisters 1
blood 12
bloody 2
boasting 1
boats 1
bodies 2
book 1
both 1
brag 1
breeze 1
bride 1
brief 2
bring 2
brink 1
broadcast 1
brother 1
building 3
but 6
buy 1
by 28
bypassed 1
call 2
called 2
calm 2
came 3
campaigning 1
cans 1
capital 5
capsules 1
captivity 1
capture 1
captured 1
caring 1
case 1
caught 2
caused 2
ccells 1
ceiling 1
centers 1
chance 1
charged 1
chasm 1
child 1
children 2
chopping 1
chosen 1
christ 2
christian 3
christians 6
christopher 63
citing 1
city 3
claimed 1
clamor 1
clean 1
cleaner 1
cleansed 1
cleansing 1
clear 1
clinic 1
clinics 4
cloning 1
close 2
closely 1
closer 2
closest 1
coastal 1
coastline 1
cohen 1
cold 1
collapsed 1
collectively 1
collusion 3
coming 1
commerce 1
communion 14
complete 2
concludes 1
concluding 1
conclusion 1
confirms 1
confiscated 1
confronted 2
consist 1
consumed 1
contact 1
contained 1
continue 2
continuing 1
control 1
convert 1
convincing 1
cool 1
corn 1
correctly 1
could 4
council 1
counterproductive 1
couple 1
course 1
covered 2
creator 1
crystal 1
cut 2
damar 1
dark 1
darkness 2
daughter 1
daughters 1
day 8
days 5
deal 1
death 2
deaths 1
decay 1
deceived 1
decided 2
decides 1
decimated 1
decker 68
declared 1
declares 1
decomposed 1
defeated 1
defiance 1
dehydration 1
demand 1
demanded 1
denying 1
depiction 1
deserved 1
desire 1
destinies 1
destiny 1
destroyed 2
destruction 1
detailed 1
determine 1
developed 1
did 2
didnt 1
die 1
died 2
dimensional 1
disagreed 1
disappear 1
disaster 1
discovered 1
discovery 1
discuss 1
dismissal 1
dismissed 1
distasteful 1
distribution 1
do 1
donafin 4
donafins 1
done 1
doomed 1
doors 1
down 2
dramatically 1
dramatics 1
