18992622
/m/04jl8pg
/m/04jl8pg
Caroline Lawrence
2008
a 5
aaron 1
alexandria 1
alive 1
an 1
anagrams 1
and 9
another 1
are 2
assigns 1
back 1
be 1
beach 1
been 1
being 1
ben 1
boat 1
border 1
but 3
by 3
called 2
camel 1
cannot 1
chapters 1
children 1
chryses 4
clan 1
clues 1
company 1
complicated 1
cousin 1
describe 1
devout 1
different 1
donkeycart 1
egyptian 1
elephantine 1
eunuch 1
fact 1
far 1
find 4
finds 1
flavia 3
follow 1
found 1
from 2
gaius 1
go 2
great 1
has 1
have 1
head 1
her 2
his 1
home 1
hoping 1
if 1
in 5
is 2
island 1
jew 1
jonathan 1
journey 1
land 1
leading 2
leopard 1
library 1
lupus 1
meeting 1
members 1
missing 1
more 1
nathan 1
native 1
nile 2
nubia 7
of 5
on 5
one 1
ostia 2
other 1
places 1
pursued 1
pyramid 1
quarters 1
realise 1
returning 1
riddles 1
roman 1
sailing 1
scholar 1
scribe 2
scribes 1
sea 1
search 1
seen 1
seth 2
shipwreck 1
sleeping 1
smuggler 1
soldiers 1
some 1
soon 1
southern 1
starting 1
starts 1
story 1
struggling 1
suffered 1
takes 1
that 2
the 16
their 1
them 2
then 1
they 5
to 9
trail 1
treasure 1
uncle 1
up 2
upriver 1
volubilis 1
waking 1
want 1
way 1
will 1
with 5
wonder 1
young 1
