213077
/m/01f6k_
/m/01f6k_
Fred Ebb


1 1
120s 1
2 1
a 15
about 1
acquittal 1
act 6
acting 1
again 1
agent 1
aid 1
all 4
allgirl 1
alone 1
also 1
amos 7
an 1
and 19
another 1
anthem 1
appreciation 1
are 1
argument 1
arithmetic 1
arrested 1
arrives 1
as 4
audience 3
awaited 1
away 1
baby 2
back 2
be 2
become 1
becomes 1
bed 1
been 1
being 1
belatedly 1
best 1
big 1
billy 10
bit 1
blame 1
block 3
bloodhounds 1
boastfully 1
booking 1
both 2
brought 1
buckles 1
burglar 1
but 6
by 6
calms 1
can 1
cant 1
care 1
career 1
case 2
casely 1
celebrity 1
cell 1
cellophane 1
cheerfully 1
chicago 2
chorus 2
claims 1
class 1
clientele 2
columnist 1
comes 1
commonly 1
company 1
complete 1
conference 1
confesses 1
consumption 1
continual 1
convince 1
convinces 1
cook 1
corrupt 1
count 1
county 1
crime 2
dance 2
dancers 1
date 1
dazzle 1
deceased 1
decides 1
desperation 1
despite 1
dictating 1
dismay 1
do 1
done 1
down 3
dust 2
each 1
eagerly 1
earth 1
ego 1
entire 1
even 1
everresourceful 1
executed 1
expresses 1
extols 1
falsehoods 1
fame 1
fan 1
fellow 1
finale 1
finally 1
find 1
fine 1
fires 1
fleeting 1
flynn 2
for 7
found 1
fred 1
friend 1
front 1
funny 1
future 1
gets 1
girl 2
given 1
glad 1
good 2
got 1
greeted 1
growing 1
grows 1
guinan 1
gun 1
happy 1
hart 1
has 3
he 1
headlines 1
hear 1
heated 1
hello 1
helped 1
her 23
herself 1
him 2
his 3
honey 2
hot 1
however 1
husband 3
i 3
ideas 1
if 1
illinois 1
in 11
informs 1
inhabited 1
inmate 1
into 2
is 12
isnt 1
it 2
jail 1
jazz 1
joined 1
joys 1
just 1
kelly 1
know 1
latest 1
lawyer 2
learns 1
leave 1
leaves 1
left 2
life 2
limelight 1
line 1
little 2
love 1
lover 1
luck 1
makes 1
making 1
mama 3
mary 1
matron 1
me 1
meanwhile 1
media 1
mention 1
mid 1
more 1
morton 1
mouths 1
mr 1
murder 1
murdered 1
murderesses 1
murderoftheweek 1
mutual 1
my 2
name 1
new 3
nightclub 1
no 1
nobody 1
not 2
notices 1
notoriety 1
nowadays 1
obvious 1
of 16
on 4
one 2
only 2
other 1
out 1
over 2
own 2
pack 1
page 1
passes 1
passion 1
paternity 1
patrons 1
pay 1
perfectly 1
perform 1
phrase 1
planned 1
planning 1
police 1
pregnant 1
presided 1
press 3
prison 1
proclaims 1
promised 1
proudly 1
pulls 2
pure 1
put 1
puts 1
rag 1
razzle 1
reached 1
realize 1
really 1
rearranges 1
recreating 1
reference 1
regular 1
replaced 1
return 1
rhinestone 1
roxie 23
run 1
same 1
see 1
sensational 1
sent 1
separately 1
she 14
shell 1
shoe 1
show 3
shy 1
sings 1
sister 2
skull 1
so 1
some 1
sordid 1
stand 1
stays 1
stealing 1
still 1
story 1
suckers 1
suits 1
sunshine 1
sympathetic 1
system 1
tabloid 1
takes 3
talk 1
tango 1
tap 1
teams 1
telling 1
texas 1
that 5
the 37
them 1
themselves 1
then 1
there 2
they 3
thick 1
to 17
toast 1
together 2
tonight 1
top 1
trial 2
tricks 1
tries 3
truth 2
turns 2
two 2
until 1
up 2
uses 1
vaudeville 2
vaudevillian 1
velma 13
ventriloquist 1
verdict 1
version 1
victim 1
was 1
we 2
welcomes 2
when 6
which 1
while 2
who 3
whose 1
wife 1
with 9
women 1
words 1
would 1
youre 1
