9274695
/m/0282n36
/m/0282n36
John Updike

a 2
against 1
aged 1
an 1
ancient 1
and 3
are 1
at 3
begin 1
blame 1
but 1
celebration 1
complaints 1
conner 1
county 1
day 1
diamond 1
doubt 1
elderly 1
enact 1
every 1
excitements 1
fair 2
fictional 1
folks 1
for 2
full 1
goes 1
had 1
home 3
hoped 1
in 3
infirm 1
inmates 1
is 1
jersey 1
less 1
location 1
man 1
memories 1
nearby 1
new 2
no 1
of 6
old 2
one 1
people 1
poorhouse 1
prefect 1
prepare 1
pride 1
produce 1
protest 1
residents 1
revolt 1
rite 1
ritual 1
sell 1
setting 1
summer 1
take 1
that 1
the 17
their 1
they 2
this 1
to 3
together 1
town 1
well 1
when 1
which 1
who 1
year 1
younger 1
