29991
/m/07ctj
/m/07ctj
John Brunner
1975
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/05hgj": "Novel"}
21stcentury 1
22 1
a 31
abandoning 1
abduction 1
able 1
absconded 1
absconds 1
academics 1
access 2
accessible 2
accounts 1
across 1
act 1
activated 1
adopted 2
adopting 1
affected 1
africanamerican 1
after 6
again 2
age 2
agents 1
agrarian 1
aid 8
aided 1
air 1
aircraft 1
all 4
allies 1
allow 1
also 2
alternating 1
alternative 1
although 1
an 8
and 27
animals 1
anonymous 1
another 4
anticipation 1
anyone 1
anywhere 1
appearance 1
are 6
areas 1
arguments 1
army 1
around 1
as 11
asking 1
at 13
atavistic 1
attacked 1
attempt 1
attempting 1
attracts 1
audience 1
authorities 2
avoidance 1
aware 2
away 1
backups 1
bagheera 2
base 1
be 4
became 1
because 1
become 1
becomes 4
been 1
before 2
being 6
between 1
billions 1
blames 1
bloody 1
book 1
bribes 1
bring 1
brings 1
broadcast 1
brunner 1
burning 1
but 1
by 11
california 1
call 4
called 2
caller 1
calling 1
calls 2
can 1
cannot 1
career 1
case 1
challenge 1
charge 1
children 2
church 1
circus 1
clandestine 1
clean 1
clear 1
clearly 1
code 4
collapses 1
college 1
comers 1
comes 1
coming 1
commit 1
community 3
companions 1
company 1
comparison 1
completely 1
computer 6
computers 1
concealed 1
conducted 1
conducts 1
confesses 1
confession 1
connections 1
conspiracies 1
contact 1
corporations 1
cottage 1
cougar 1
could 1
counterorder 1
country 3
cover 1
create 1
creates 1
credit 1
crime 1
crimes 1
criminals 1
crippled 1
cripples 1
cut 1
dark 1
data 3
daughter 1
deeply 1
defense 1
defined 1
deformed 1
degree 1
designed 4
despite 1
destroy 1
destroyed 1
details 2
detectors 1
determined 1
died 1
disappear 1
discover 1
dismantling 1
disposed 1
disturbing 1
do 1
dogs 2
down 1
earthquake 1
easily 1
effect 1
effects 1
electric 1
else 1
emailed 1
employer 1
encountering 1
encouraged 1
ends 1
enforce 1
engineering 1
enough 1
ensure 1
entire 3
escape 2
escaped 1
even 3
event 1
eventually 3
executive 1
exhibitions 1
experimentation 1
experiments 1
exposure 1
facilities 1
fact 1
fascinates 1
father 3
felt 1
few 1
fights 1
filled 1
final 1
finally 1
financial 1
flashbacks 1
flows 1
focuses 1
following 2
for 11
force 1
former 1
freeman 4
freezing 1
from 8
front 1
full 2
fully 1
further 1
g2s 5
gangs 2
gaunt 1
genetic 3
gets 1
gigolo 1
gives 1
giving 1
goes 1
government 8
gradually 1
graduate 1
grierson 1
ground 1
guards 1
had 1
happen 1
has 4
he 23
hear 1
heard 1
hearing 8
help 1
helped 1
helping 1
her 9
hiding 2
high 2
him 7
himself 3
his 9
hits 1
home 3
hope 1
house 1
however 1
hypercorp 1
i 2
id 1
identities 1
identity 1
idle 1
if 3
illegal 1
in 17
ina 2
incident 1
include 1
including 1
income 1
individuals 1
industries 1
industry 1
information 1
infrastructure 1
inhabitants 1
initially 1
installation 1
intelligence 1
intelligent 1
intended 1
intending 1
interrogation 1
interrogator 2
into 3
invented 1
invisible 1
