5594851
/m/0dv9hv
/m/0dv9hv
Iraj Pezeshkzad
1973
20thcenturystyle 1
a 9
actually 1
against 2
allied 2
an 1
and 6
are 1
around 1
as 3
at 1
battles 1
believes 1
brigade 1
british 1
but 1
butcher 1
butler 1
by 2
called 1
characters 1
colonel 1
commandclaims 1
constitutional 1
cossack 1
course 1
cousin 2
daughter 1
dear 2
development 1
doctor 1
during 1
each 1
early 1
empire 1
english 1
entertaining 1
families 1
family 1
father 1
feuds 1
forces 2
from 1
government 1
he 1
her 1
high 1
him 1
his 2
home 1
housewives 1
huge 1
ii 1
in 8
including 1
indian 1
investigators 1
involved 1
iran 2
iranian 2
is 3
khan 1
khodadad 1
lackeys 1
latter 1
layli 2
liakhov 1
live 1
love 1
lowlevel 1
man 1
mansion 1
marriage 1
mash 1
medical 1
mischiefs 1
most 1
multitude 1
nameless 1
narrator 4
novel 1
now 1
occupation 2
occurs 1
of 7
officer 1
officials 1
on 2
or 1
other 1
paranoid 1
past 1
patriarch 1
persian 1
place 1
plot 2
police 1
preacher 1
prearranged 1
provide 1
puri 1
qasem 1
reality 1
retired 1
revenge 1
revolution 1
revolves 1
saeed 1
school 1
sequences 1
series 1
servants 1
settle 1
shoeshine 1
stages 1
stall 1
story 5
struggles 1
student 1
such 1
supporting 2
sycophantic 1
take 1
takes 1
that 2
the 22
their 1
three 1
throughout 1
time 1
to 4
tv 1
two 1
tyranny 1
uncle 3
unclewho 1
under 2
various 2
vladimir 1
war 1
wars 1
wealthy 1
well 1
were 1
which 1
while 1
who 1
with 2
world 1
