4951184
/m/0cwrpx
/m/0cwrpx
Harvey Wheeler
1962
{"/m/01jfsb": "Thriller", "/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
6 2
a 15
about 1
accept 3
accident 1
accidental 1
afterburners 1
agrees 1
air 4
aircraft 3
all 3
altitude 1
america 1
american 5
an 5
and 16
appalled 1
apparent 1
apparently 1
approach 1
approaches 1
arctic 1
are 4
as 5
assault 1
assistance 1
assume 1
at 6
attack 10
attacking 1
attempt 4
attempts 3
away 1
barrage 1
be 3
because 1
becomes 1
been 1
blows 1
bogan 3
bomb 1
bomber 3
bombers 5
bombing 1
bombs 1
building 1
burst 1
but 5
by 3
called 1
can 1
cannot 1
cascio 2
certain 1
check 1
city 2
code 2
collapses 1
colonel 4
command 2
commander 1
commands 1
concluding 1
consists 1
contact 2
contacts 1
continue 1
copilot 1
corps 1
could 1
course 1
crash 1
crew 3
dead 1
debate 1
decide 1
decline 1
decoy 2
defense 1
defenses 1
defensive 1
depose 1
destination 1
destroy 3
destruction 1
detonate 2
die 1
dooming 1
down 3
dropped 1
due 3
earlier 1
empire 1
entire 1
europe 1
executive 1
expected 1
explodes 1
exposure 1
fail 1
failsafe 3
failure 2
fallout 1
far 1
feint 1
fighters 2
fire 1
fireball 1
fires 1
first 1
fly 1
follow 1
following 2
force 1
form 1
from 2
fuel 1
fullscale 2
general 3
get 1
go 1
grady 8
groteschele 1
ground 1
group 4
guarantees 1
handle 1
has 3
have 1
he 3
head 1
headquarters 1
hear 1
help 1
high 2
him 2
himself 1
his 7
hit 1
home 1
house 1
however 5
humanity 1
ignore 1
ignores 1
implications 1
in 9
increase 1
inform 1
innocuous 1
instead 1
intended 1
intends 1
interceptor 1
involves 1
is 10
issued 1
it 3
jamming 2
just 1
kennedy 1
khrushchev 1
killed 1
knock 1
last 2
lastminute 1
late 1
leader 1
leads 1
let 1
life 1
lowflying 1
make 1
managed 1
marshal 1
mean 1
meanwhile 1
measure 1
meet 1
meetings 1
men 1
military 2
missile 1
missiles 4
mistrusts 1
modeled 1
moscow 6
must 1
nevsky 3
new 1
nikita 1
no 2
north 1
not 4
nothing 1
noting 1
nuclear 3
nucleartipped 1
of 13
offers 1
officer 1
omaha 2
on 3
one 3
only 2
open 1
opens 1
operator 1
order 3
orders 5
original 1
others 1
out 3
over 2
own 1
past 1
pentagon 1
persuade 1
pilots 1
plane 7
planes 3
point 1
police 1
politicians 1
positive 1
potential 1
precious 1
premier 1
president 3
presumably 1
prevent 1
probably 1
procedures 1
proceed 1
professor 1
protection 1
proven 1
pvo 1
radiation 1
radio 4
realizes 1
recall 2
receiving 1
refueling 1
remain 1
remaining 1
responsibility 1
retaliate 1
rockets 1
run 2
sac 4
same 1
scholars 1
scrambled 1
sea 1
second 1
sends 1
senior 1
shelter 1
shoot 5
show 1
six 6
sky 1
skyscraper 1
skyscrapers 1
so 1
soon 1
soviet 11
soviets 4
special 1
speed 1
standard 1
state 1
states 3
stop 1
stopped 1
strany 1
strategic 1
strike 1
successfully 2
such 1
suggests 1
supersonic 2
support 2
surrender 1
survives 1
systems 1
take 1
takes 1
tanker 1
technical 1
tells 2
than 1
that 11
the 68
their 2
them 4
then 1
there 2
they 2
third 1
this 3
threat 2
three 1
through 1
thrust 1
time 2
to 38
too 1
towards 1
transmitted 1
trick 1
tries 1
turning 1
two 5
understanding 1
unilateral 1
united 2
unknown 1
unnamed 1
up 3
verify 1
vindicator 4
vindicators 3
walking 2
wants 1
war 3
wasted 1
way 1
weapons 1
were 2
when 1
which 3
white 1
who 2
wife 1
will 4
with 3
within 1
without 2
worldwide 1
would 3
wounded 1
york 1
zero 1
