1963048
/m/06995g
/m/06995g
Wil McCarthy
1998
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
2106 1
a 19
about 2
adequate 1
after 2
against 1
agrees 1
airlock 1
alive 1
all 1
almost 1
along 1
also 1
ambassador 1
amplification 1
an 6
and 24
any 1
apparently 2
approved 1
are 6
areas 1
armada 1
article 1
artificial 1
as 4
asks 1
asteroid 3
asteroids 1
at 3
attraction 1
augmented 1
author 1
aware 1
bag 1
baucum 2
be 5
beat 1
because 1
become 1
been 4
before 1
begins 1
being 3
believe 1
believes 1
belt 1
bleak 1
bloom 3
book 1
brief 1
but 4
by 1
called 3
camouflaged 1
can 2
captain 1
carrying 1
cascade 1
character 1
choose 1
classical 1
climax 1
coexisting 1
coldness 1
colonizing 1
communication 1
concern 1
conduct 1
consciousness 1
constructed 1
consumed 2
continues 1
cost 1
could 1
crew 6
crewmember 1
crewmembers 1
danger 1
designed 1
destroying 1
destruction 1
detectors 2
develop 1
devour 1
diagnosed 1
discovered 2
disease 1
divine 1
docks 1
drop 2
earlier 1
earth 5
earths 1
eke 1
emphasize 1
ends 1
enough 1
escape 1
evacuation 1
every 1
evolution 1
existthe 1
explains 1
figure 1
first 1
flares 1
floral 1
followed 1
for 2
forced 1
forcing 2
formed 1
found 1
free 3
fusion 1
galilean 1
ganymede 1
gene 1
generate 1
given 1
gladholders 1
go 1
goes 1
group 1
groups 1
had 2
hangar 1
has 4
have 3
he 2
heat 1
helier 1
her 1
herself 1
him 2
his 1
horror 1
how 1
human 3
humanity 2
humankind 1
humans 1
icecaps 1
if 1
illwill 1
immunity 1
in 11
incites 1
incorporated 1
information 1
inhabitants 1
initiate 1
inner 2
inside 1
inspect 1
intelligence 3
intent 1
into 2
invests 1
is 15
isnt 1
it 1
joins 1
journey 1
jupiter 1
killing 1
ladderdown 1
large 1
later 2
launch 2
led 1
life 3
live 1
lives 2
living 1
long 1
lottick 3
louis 3
magnate 1
main 1
major 1
man 1
manner 1
mark 1
mars 3
massive 1
may 1
media 1
mediumsized 1
meet 1
member 1
mission 4
money 1
moons 2
more 1
most 3
multiple 1
mycora 13
mycoran 1
mycosystem 2
named 1
nanomachines 1
nearly 1
now 1
of 22
office 1
offlimits 1
on 9
one 2
onto 1
or 2
other 3
others 1
out 5
outbreak 1
outer 1
outsystem 1
own 1
paradigmshattering 1
pasteur 6
person 1
pick 1
planets 1
planned 1
polar 1
populate 1
protect 1
public 1
purpose 3
reality 1
realizes 1
reason 1
releases 1
reporter 1
requests 1
researching 1
resistance 1
rest 1
revealed 1
rid 1
right 1
risk 1
ruptures 1
sabotaging 1
saboteur 1
said 1
saint 1
sapient 1
secretly 1
seemingly 1
seen 1
selfreplicating 1
sequences 1
serves 1
set 1
sexual 1
shaken 1
she 1
ship 1
ships 2
shocks 1
short 1
shoves 1
significantly 1
solar 4
some 1
somewhat 1
soon 1
spiritual 1
spores 1
star 1
stars 1
starship 1
stealing 1
still 1
stop 1
storage 1
story 3
strasheim 8
strong 1
successful 1
such 1
sums 1
supplies 2
supposed 1
surface 1
surprised 1
system 4
systems 1
technogenic 1
technologically 1
technology 2
tells 1
temples 4
term 2
terminal 1
terrified 1
tgl 2
than 2
that 14
the 62
their 5
them 3
there 2
they 4
thirteen 1
this 3
three 1
times 1
to 29
told 1
too 1
toward 1
transcendent 1
transcends 1
true 1
try 1
turns 1
two 1
unfortunately 1
unknown 1
unnamed 1
unpack 1
unpacked 1
up 1
upgraded 1
use 2
used 1
utterly 1
venus 1
violent 1
was 2
wave 1
way 1
weeks 1
were 1
what 1
where 1
which 5
while 1
who 1
whom 1
willing 1
wipe 1
with 3
without 2
witness 1
woman 1
world 1
would 1
year 1
years 1
you 1
your 1
