30314483
/m/0g5qwzx
/m/0g5qwzx

2009-02
{"/m/06n90": "Science Fiction"}
a 3
accomplished 1
adapt 1
and 5
apart 1
as 2
at 1
attention 1
attract 1
band 1
book 1
boy 1
carbon 1
chronicles 1
disasters 1
door 1
england 2
europe 1
extreme 1
fabric 1
family 1
father 1
fetching 1
friends 1
garage 1
her 4
his 1
imposes 1
in 3
is 1
job 1
just 1
laura 3
life 2
live 1
london 1
loses 1
next 1
normal 1
of 6
old 1
older 1
practice 1
rationing 2
refuses 1
selfish 1
sister 1
sixteen 1
social 1
stresses 1
student 1
tear 1
the 7
to 2
torn 1
wake 1
wants 1
weather 1
weatherrelated 1
while 1
with 1
year 2
