22951744
/m/0641550
/m/0641550
Aaron Allston

202 1
a 5
accomplish 1
ad 1
again 1
an 2
and 14
at 1
attacked 1
avila 1
be 1
became 2
become 1
before 3
begun 1
between 1
brewster 1
but 3
by 1
can 2
cant 1
cities 1
communicate 1
connection 1
connor 2
continue 1
could 1
dangerous 1
danny 6
day 2
days 1
death 1
decimating 1
defeat 1
despite 2
destroy 1
destroying 1
didnt 1
disappeared 1
discovered 1
dreams 2
edge 1
efforts 1
emotional 1
enough 1
experiment 1
feeling 1
forces 2
forgotten 1
future 1
gain 1
guerrilla 1
happened 1
has 4
haunt 1
have 1
he 4
help 1
helped 1
heroic 1
him 3
his 1
horrible 1
human 1
idea 1
if 1
important 1
is 1
it 3
john 4
judgment 2
just 1
kate 3
lapse 1
later 1
link 1
mankind 2
member 1
memory 1
might 1
nagging 1
nightmares 1
not 1
now 1
of 6
on 1
one 1
operational 1
past 2
perhaps 1
physical 1
place 1
plagued 1
present 1
program 1
prove 1
psychic 1
rages 1
remember 1
resistance 3
resurface 1
risk 1
sabotage 1
sacrifice 1
salvation 1
self 1
skynet 6
small 1
something 1
still 1
such 1
t850 1
terminators 1
that 2
the 9
these 1
they 1
this 1
to 5
tremendous 1
two 1
until 1
very 1
vital 1
war 1
was 1
what 2
with 1
would 1
years 1
