1009503
/m/03ywdq
/m/03ywdq
Luigi Pirandello

20 1
a 6
about 3
accuracy 1
act 8
acting 4
actors 7
after 2
agrees 1
allows 1
already 1
amongst 3
an 6
and 16
another 1
anyway 1
are 3
argue 1
arguing 1
argument 3
arrival 1
articles 1
as 11
asks 1
assuming 1
at 2
attracted 1
author 2
away 1
back 1
be 3
begin 4
begins 4
believes 1
between 5
blurred 1
boy 2
break 2
broken 1
but 4
by 5
call 1
cannot 1
characters 9
child 1
closes 1
coats 1
come 1
committing 1
company 2
compared 1
concluding 1
confused 1
consider 1
contain 1
continue 1
culminates 1
day 1
decides 1
demands 1
despite 1
details 1
director 14
disbelief 2
distressed 1
does 1
doesnt 1
done 1
drowning 1
during 1
embrace 1
end 1
ends 1
everything 1
exhorting 1
explains 2
explanation 1
family 3
far 1
father 8
final 2
finish 1
first 2
for 4
fountain 1
furious 1
game 1
garden 1
gestures 1
girl 1
half 1
hanging 1
harder 1
has 1
hates 1
hats 1
have 2
having 1
he 6
her 4
herself 1
him 2
his 1
i 1
imitate 1
in 6
initially 1
intends 1
interrupted 1
interruption 1
into 1
is 7
isnt 1
it 6
jeering 1
job 1
just 2
later 2
laughter 2
left 1
line 1
lines 1
listen 1
little 1
lost 1
luigi 1
lures 1
mad 1
madame 4
may 1
members 1
minute 1
more 2
mother 5
moves 1
much 1
must 1
not 4
observe 1
of 17
on 4
once 1
or 3
others 1
out 7
over 5
pace 4
part 1
particular 1
people 1
pirandello 1
play 6
pleased 1
possible 1
prepares 1
problems 1
protests 1
racks 1
real 2
realism 1
realistic 1
realistically 1
reality 1
realizes 1
recognize 1
rehearsal 1
rehearsals 1
rehearse 1
rest 2
restrained 1
return 1
reveal 1
revealed 1
reveals 1
revolver 1
rules 1
running 1
save 1
saying 1
scene 13
search 1
seeing 1
sending 1
sent 1
setting 2
she 3
shop 1
six 1
so 2
some 1
son 3
sparks 1
stage 5
stay 1
stepdaughter 11
stops 1
story 4
strange 1
suicide 1
telling 1
that 7
the 107
theater 1
their 4
them 5
themselves 2
there 1
they 7
this 2
time 1
to 22
tones 1
trade 1
truth 1
try 1
unexpectedly 1
unfinished 1
up 1
use 1
very 2
voice 1
wanting 1
was 4
watch 2
what 1
whether 2
which 2
while 1
whole 1
with 13
work 1
would 1
wrong 1
