217444
/m/01fv5g
/m/01fv5g
Lytton Strachey

{"/m/0xdf": "Autobiography", "/m/017fp": "Biography", "/m/0d6gr": "Reference"}
a 8
account 1
achievements 2
admirable 1
adventurer 1
against 1
almost 3
also 1
although 2
an 6
and 13
anything 1
appearance 1
approach 1
are 2
arnold 5
arrived 1
arthur 1
as 4
aspect 1
at 4
attempting 1
background 3
based 2
became 1
been 1
behalf 1
being 1
both 1
british 1
but 3
by 1
cardinal 2
catholic 1
chapel 1
china 1
church 2
classics 1
clear 1
clergy 1
clough 1
common 1
completely 1
conflicts 1
covered 1
creation 1
critical 1
damaging 1
days 1
defection 1
depicts 1
depth 1
describes 1
diaries 1
did 1
different 1
dilemma 1
disaster 1
do 1
does 1
dr 1
driven 1
dubious 1
each 2
education 1
efforts 1
egyptian 1
embroiled 1
england 1
established 1
eventually 1
ewart 1
example 2
exemplar 1
expedition 1
experience 1
explain 1
fault 1
features 1
fell 1
final 1
florence 2
for 3
forgotten 1
from 1
fundamentalist 1
general 1
give 1
gladstone 1
gordon 1
gordons 2
got 1
government 1
governments 1
group 1
hailed 1
have 1
he 3
henry 1
her 1
his 4
hostile 1
hugh 1
ignoring 1
impossible 1
improvement 1
in 11
individual 1
influential 1
instincts 1
intense 1
into 1
intolerable 1
is 8
it 3
its 1
job 1
john 1
just 1
khartoum 1
late 1
letters 1
lives 1
machinations 1
made 1
main 1
maintain 1
make 1
manipulations 1
manning 3
maverick 1
mercenary 1
military 2
mocks 1
moral 1
movement 2
much 1
needed 1
newman 2
newspaper 1
nightingale 2
not 1
obsession 1
obtuseness 1
occupation 1
odds 1
of 17
office 1
on 3
order 1
original 1
others 1
out 2
overthrown 1
oxford 1
particularly 1
personally 1
points 1
politicians 1
prefectorial 1
prevent 1
protagonists 1
public 2
put 1
rebels 1
recurrent 1
relationship 1
relief 1
responsible 1
retrieve 1
retrospect 1
revered 1
school 1
sciences 1
sees 1
send 1
set 1
siege 1
situation 1
soldier 1
someone 1
specific 1
sport 1
story 5
strachey 6
strong 1
sudan 2
system 2
that 2
the 28
there 1
they 1
this 2
threads 1
time 1
to 8
too 1
two 1
underhand 1
unsuccessful 1
various 1
very 2
war 1
was 10
weekly 1
were 1
when 2
who 4
whose 2
william 1
with 4
withdraw 1
woman 1
world 1
would 1
