27910639
/m/0ch2t4p
/m/0ch2t4p
Penelope Lively
1984

a 15
able 1
about 8
after 3
ago 1
agrees 1
all 2
an 1
and 14
any 1
are 1
arrive 1
arrived 1
as 2
ask 1
asks 1
associated 1
at 6
aunt 1
back 1
be 1
because 3
becomes 1
been 3
being 1
between 1
biographer 1
biography 1
book 4
broadcast 1
bunch 1
by 1
carry 11
centre 1
chapter 1
cities 1
close 2
comes 1
course 1
days 1
dead 1
dean 2
deeply 1
delight 1
develop 1
diana 4
died 1
during 1
enable 1
encounter 1
england 2
englishman 1
essayist 1
ever 1
extremely 2
fallen 1
falls 1
father 1
feels 2
fiasco 1
find 2
findings 1
finds 1
finish 1
first 1
for 6
found 1
france 3
french 1
from 1
further 1
gain 1
gallery 1
garden 1
get 1
gets 1
gilbert 4
going 1
got 1
granddaughter 1
had 3
happy 1
has 4
have 1
having 1
he 13
heads 1
heavy 1
her 8
hermione 5
hesitantly 1
him 1
his 4
hopes 1
hotels 1
house 1
idea 1
in 15
information 3
intent 1
into 1
irene 3
is 7
join 2
journey 1
know 1
lamming 1
last 2
later 1
leads 1
leave 2
leaves 3
letters 2
life 4
live 1
lives 1
london 2
longterm 1
loss 1
love 3
made 1
major 2
mansion 1
mark 14
marks 1
meantime 1
more 1
mother 3
moves 1
mystery 1
needs 2
never 2
nick 2
north 1
not 1
of 6
on 1
order 1
out 4
over 1
paris 1
partly 2
person 1
place 2
plan 1
plans 1
porlock 2
problems 1
produced 1
produces 1
questions 1
quiet 1
radio 1
really 1
reclusive 1
regularly 1
relationship 2
right 1
runs 1
saying 1
seems 1
several 3
sex 1
she 5
shocked 1
short 1
simply 1
since 1
so 1
solve 1
some 2
sort 1
speak 1
spend 1
started 1
state 1
station 1
stays 1
strong 13
supermarket 1
tells 1
that 4
the 19
their 3
them 2
there 1
these 2
they 4
this 3
tick 1
time 4
to 24
together 1
too 1
transmission 1
travelling 1
travels 1
treating 1
trip 1
turns 1
uncomfortable 1
understand 1
up 1
used 1
village 1
villages 1
visit 2
visits 2
wants 1
was 1
way 1
what 2
when 1
where 4
while 2
who 5
whose 1
why 1
wife 2
with 10
without 1
women 1
word 1
working 1
works 1
write 1
writer 1
wrote 1
years 1
