1120915
/m/047vlt
/m/047vlt
Anne Tyler
2004
141 1
160 1
30th 1
a 8
above 1
after 1
amateurs 1
and 8
anniversary 1
anton 1
apartment 1
army 1
assaulted 1
at 1
away 1
baltimore 1
barclay 1
becomes 1
bloodied 1
brow 1
but 1
by 1
caused 1
children 1
community 1
concerns 1
conclave 1
conduct 1
controlling 1
convinced 1
create 1
culture 1
december 1
deliberate 1
despair 1
detoxes 1
didnt 1
different 1
discharged 1
dissension 1
dissolves 1
divorce 1
doing 1
drug 1
eastern 1
eight 1
emotional 1
european 1
expectations 1
faintest 1
family 1
finally 1
for 2
francisco 1
from 2
george 1
grandchild 1
grocery 1
growing 1
have 1
he 4
her 3
his 1
how 1
idea 1
in 10
injury 1
insistence 1
involved 1
is 4
it 1
karen 1
later 1
leaves 2
lindy 3
located 1
loud 1
marriage 3
married 1
marry 1
meet 1
michael 5
move 1
of 1
on 1
or 1
pagan 1
parents 1
pauline 6
permanent 1
plot 1
primarily 1
quickly 1
quiet 1
raise 1
rehab 1
relationship 1
repressed 1
retrieve 1
romantic 1
runs 1
salvation 1
san 1
settle 1
she 1
shot 1
slowlycrumbling 1
small 1
someone 1
store 2
suburbs 1
temperaments 1
tends 1
that 3
the 9
their 3
they 6
three 1
threeyearold 1
to 4
tragedy 1
were 2
what 1
when 3
where 1
while 1
who 1
widely 1
with 1
years 1
