7267762
/m/025xrfr
/m/025xrfr
Sara Douglass
2005-05
a 4
again 1
all 5
already 2
also 1
and 12
another 1
are 2
arts 1
as 10
asterion 1
at 1
back 2
banks 2
become 1
born 2
both 1
brutus 2
but 3
by 3
came 1
catherine 1
catling 3
caused 2
charles 2
circle 1
close 1
coel 1
combined 1
come 1
conceive 1
cornelia 1
darkwitch 1
daughter 2
de 1
deserts 1
desire 1
died 1
dispose 1
do 1
druid 1
earth 1
eaving 1
ecub 1
england 2
entirely 1
excruciating 1
exiled 1
exterminate 1
fail 1
falls 1
final 1
finally 1
finish 1
for 5
force 1
friends 1
game 4
genvissa 2
goddess 1
grows 1
hands 1
has 1
hateful 1
have 2
he 4
healed 1
healing 1
heir 1
her 5
him 1
his 5
however 1
imp 3
imps 2
in 7
incarnate 1
including 1
inside 2
into 1
is 9
islands 1
jane 4
kate 1
king 1
labyrinth 2
later 2
london 1
louis 5
love 2
makes 1
marguerite 2
matilda 1
medieval 1
mistress 2
more 1
much 1
must 1
named 1
needs 1
noah 10
not 1
of 11
once 2
only 1
orr 2
out 1
own 2
pain 3
part 1
past 1
piece 1
plans 1
players 1
power 2
queen 1
reborn 1
returns 1
rightful 1
rival 1
running 1
scilly 1
scry 1
shared 1
she 5
side 1
silva 1
sisters 1
small 2
so 1
stage 1
story 2
sword 1
teach 1
that 1
the 22
their 1
then 2
they 2
this 3
throne 1
through 3
to 14
together 1
traps 1
troy 4
turf 1
two 1
unexpectedly 1
unknownst 2
using 1
wait 1
waiting 1
weyland 7
when 1
while 1
whorehouse 1
will 1
with 5
without 1
womb 3
women 1
would 1
wounds 1
written 1
