34760692
/m/0j3gcfn
/m/0j3gcfn
Theodor Storm
1888
a 13
about 1
accepted 1
actually 1
after 2
again 1
agony 1
allegedly 1
along 1
already 1
and 16
announces 1
applies 1
are 1
as 2
astronomer 1
author 2
away 1
based 1
be 3
becomes 3
begins 3
being 1
believe 1
best 1
better 1
both 1
break 1
but 3
by 2
can 2
challenged 1
changes 1
character 1
childhood 1
chose 1
coast 2
creator 1
daughter 4
deaths 1
deichgraf 4
demise 1
dislike 1
does 2
doing 1
drives 1
during 2
dutch 2
dyke 5
dykes 3
elke 7
ends 1
engaged 1
envisioned 1
euclid 1
even 3
familiar 1
family 1
farmer 1
father 2
fathers 1
fires 1
flatter 1
flood 1
floods 1
for 3
form 1
frisia 1
from 1
geometry 1
ghostly 1
gone 1
great 1
haien 5
hand 2
hands 1
hans 1
has 2
hauke 16
he 7
help 1
her 1
him 1
his 5
hold 2
horse 4
however 3
hundred 2
if 1
implement 1
in 6
interest 1
into 1
is 5
island 2
it 1
its 1
job 1
lands 2
later 2
learn 1
learns 1
licensed 1
lives 1
local 2
lord 1
lying 1
main 1
make 1
makes 1
man 1
many 1
marriage 1
master 3
mathematician 1
mathematics 1
me 1
meanwhile 1
mentally 1
momsen 1
more 1
must 1
mysterious 1
ne 1
necessary 1
new 2
nights 1
northern 1
not 2
novella 2
now 1
of 7
off 1
old 2
older 2
ole 2
on 7
once 1
one 1
ones 1
others 1
over 1
patrolling 1
people 2
peters 2
position 1
print 1
prior 1
proposes 1
read 1
recounting 1
reduce 1
related 1
required 1
resurrected 1
rider 1
rise 1
rival 1
satisfied 1
saved 1
say 1
schoolmaster 3
sea 2
seen 2
senior 2
several 1
she 1
show 1
side 1
since 2
skeleton 2
small 3
so 2
sometimes 1
son 1
soon 3
spare 1
stands 1
start 1
still 1
storm 1
stormy 1
story 2
surge 1
surveyor 1
swept 1
take 1
talking 1
tede 2
tells 2
tensions 1
that 6
the 43
their 2
them 1
they 2
time 1
to 13
town 2
trade 1
traditionalists 1
tragic 1
unexpected 1
used 1
very 1
village 2
visible 1
volkerts 4
wait 1
wants 1
was 1
water 1
well 1
when 2
which 2
white 3
who 1
wienke 2
wife 1
will 1
windage 1
with 3
witness 1
wonder 1
work 2
would 1
years 3
yelling 1
