13698745
/m/03cffgt
/m/03cffgt
Sean McGowan
2007-10-08
{"/m/01ng1k": "Creative nonfiction"}
2007 1
a 5
and 3
arguably 1
arise 1
art 1
artemis 1
as 3
at 1
athens 1
ballot 2
bank 1
beirut 1
belief 1
benefits 1
bent 1
biological 1
book 2
cairo 1
chapter 1
chapters 1
choice 1
clear 1
click 2
completing 1
damascus 1
diverse 1
during 1
each 1
eight 1
election 1
elections 1
ephesus 1
even 1
federal 1
first 1
gunpoint 1
illustrate 1
in 3
incidences 1
incidentally 1
include 2
is 4
it 1
its 1
jbail 1
joke 1
mainly 1
mcgowan 1
more 1
name 1
neuroscience 1
no 1
of 4
on 2
one 1
only 1
person 1
petra 1
prose 1
racism 1
respectively 1
satisfaction 1
scattered 1
sean 1
seemingly 1
selfsustaining 1
serious 1
show 1
snap 1
specific 1
stealing 1
such 2
syria 1
temple 1
the 8
there 2
thing 2
though 1
through 1
to 2
topics 2
travels 1
unusually 1
urinating 1
war 1
west 1
where 1
with 1
written 2
