34264413
/m/0hzqyjm
/m/0hzqyjm
Tong Yue
1640
{"/m/01hmnh": "Fantasy", "/m/08sdrw": "Adventure novel"}
a 34
able 1
abode 1
about 1
accepted 1
accidentally 1
act 1
addition 1
adhere 1
adventure 1
after 4
all 1
amass 1
an 6
ancient 1
ancients 1
and 22
another 1
any 1
anyone 1
apparently 1
appear 1
are 1
armies 1
armor 1
army 1
aroused 1
as 10
at 3
attack 1
awakens 1
axes 1
back 1
banished 1
banner 1
battle 2
be 2
beautiful 2
because 3
become 1
becomes 5
been 3
before 2
beginning 1
begins 1
being 1
bell 2
between 1
bewitched 1
beyond 1
blamed 1
block 1
blocked 1
blocking 2
blood 2
bloody 1
blow 1
body 2
born 2
both 2
breath 1
broken 1
bronze 2
buddhist 3
bust 1
but 6
by 7
bypass 1
can 2
caused 1
causes 1
causing 1
centuries 1
chink 1
chu 1
city 4
clashing 1
clear 1
clouds 1
comes 2
commends 1
compassion 1
complete 1
concubine 1
confusion 1
connection 1
could 1
cudgel 1
cup 1
daoist 2
dead 1
deceased 1
demon 7
demons 1
denizens 1
desire 4
desires 1
devil 2
devils 1
died 1
difference 1
different 1
dig 1
disciples 1
discovers 2
disembodied 1
disguises 1
disjointedly 1
dismissed 1
display 1
does 2
down 1
dream 4
dreamed 1
drilling 1
drink 1
drinking 1
during 1
dynasty 3
earth 1
eating 1
effect 1
effort 1
either 1
embodiment 2
emerald 1
emotional 1
emperor 5
ends 1
enemy 1
energies 1
energy 2
entangled 1
entering 1
enters 1
entertains 1
entire 1
escapes 1
eventually 2
everything 1
evil 1
existence 1
experiment 1
explains 1
faces 1
fake 1
fall 1
falls 2
fan 3
far 1
fate 1
feels 1
fei 2
fetch 1
few 1
fight 1
final 1
finally 2
find 1
finds 1
fine 1
fire 1
firmament 1
first 1
fish 3
five 1
flaming 1
flies 1
flying 2
foe 1
food 1
for 4
forced 1
forces 2
form 3
former 1
forward 1
found 2
foundations 1
founder 1
friar 1
friend 1
from 10
full 1
future 3
gate 2
gates 2
gateways 1
general 4
ghost 1
ghosts 1
give 1
given 1
goes 1
gourd 1
great 7
green 1
grounds 1
groups 1
guise 1
had 5
han 1
has 9
have 1
having 1
he 29
heaven 7
heavenly 2
help 1
hence 1
her 3
him 11
himself 1
his 20
history 1
hole 1
hop 1
horrific 1
housing 1
however 3
huge 2
hui 1
hundreds 2
illness 1
illusion 1
immortal 1
imperial 1
imposter 2
in 17
india 5
infiltrated 1
influence 1
insect 1
inside 3
instantly 1
instead 1
intercept 1
into 5
invite 1
invites 1
iron 3
is 12
it 8
its 3
jade 2
journey 2
judge 1
judging 1
junior 3
keep 1
killing 1
kills 1
king 6
kingdom 1
kings 1
kowtow 1
lady 3
large 1
later 3
lead 1
leaps 1
learn 1
learns 5
leave 2
leaves 1
leaving 1
led 1
lies 1
liquid 1
little 3
loaned 1
local 1
locked 1
made 1
magic 9
main 1
makes 1
making 1
man 2
master 3
means 1
meanwhile 1
melts 1
men 3
mesh 1
messenger 1
military 2
millions 1
minister 2
mirror 1
mirrors 2
mission 3
mists 2
monk 1
monkey 19
monkeys 5
months 1
moon 3
more 2
mortal 1
mountain 2
mountainremoving 2
murders 1
must 1
needs 1
negative 1
neighboring 1
netting 1
new 2
normal 1
not 1
nothing 1
nowhere 1
oblivion 1
obstacles 1
odd 1
of 52
off 1
offers 1
offset 1
old 1
on 6
once 1
one 1
only 2
open 1
or 1
order 3
originally 1
other 2
otherwise 1
own 1
palace 2
paramita 1
passion 1
path 3
person 1
personal 1
physical 2
picking 1
pigsy 1
pilgrims 2
place 1
point 1
points 1
position 1
positive 1
powerful 2
powers 1
presumably 1
prey 1
priest 5
priests 1
prime 2
primordial 1
process 1
proper 1
punishment 1
put 1
puts 1
qin 7
qing 3
quell 1
raksasha 1
reads 1
reality 1
reason 1
reborn 1
recently 2
red 1
reduced 1
refuses 1
religious 1
replacement 1
representation 1
respect 1
restoration 1
resuming 1
retinue 1
retrieve 3
return 2
returns 1
ruler 1
rules 1
same 2
sand 1
scriptures 1
seconds 1
sends 2
sent 2
series 1
set 1
sets 1
shock 1
situation 1
slowly 1
snaps 1
so 5
some 1
someone 1
sometime 1
somewhere 1
son 1
song 1
sonofheaven 1
sons 1
sorry 1
soul 1
speaks 1
spears 1
spirit 1
spiritual 1
stew 1
stir 1
stolen 1
stomach 2
story 1
stranger 1
strength 1
strikes 1
successor 1
sucks 1
suitable 1
sully 1
taizong 2
take 1
taken 2
takes 3
taking 1
tang 8
tangs 1
teacher 1
tell 1
that 23
the 111
their 3
them 3
then 2
thereby 1
they 1
third 1
thirtyeighth 1
this 6
threads 2
through 5
time 3
to 52
tortures 1
tower 3
transforms 1
transpired 1
trap 1
trapped 1
travels 2
tries 2
under 2
underworld 3
universes 1
until 2
up 3
upon 2
use 1
uses 4
very 1
village 1
void 1
wall 2
was 1
way 1
weakness 1
were 1
when 5
where 1
which 3
while 2
who 3
why 1
wife 1
will 1
window 1
wine 3
with 6
without 1
world 11
worried 1
would 1
xiang 2
xuanzang 2
yama 1
yang 1
years 2
yin 1
young 1
yu 3
yue 4
