13286237
/m/03c0lv8
/m/03c0lv8
Jane Rule
1964
15 1
15year 1
18yearold 1
25yearold 1
a 13
abilities 1
after 5
age 1
alike 1
also 3
although 1
amicable 1
an 1
and 14
ann 12
another 1
anyone 1
appearance 1
are 3
arrives 1
as 3
asked 1
at 4
atmosphere 1
attached 1
attain 1
awaiting 1
be 1
become 1
begin 1
beginning 1
being 4
believe 1
best 1
bill 4
boss 1
both 1
but 3
by 3
california 1
cartoonist 1
casino 5
caustic 1
change 1
childs 1
chronic 1
committing 1
contact 1
continues 1
date 1
daughter 1
deal 2
dealer 1
decide 1
deep 1
depression 2
despite 4
difference 1
distracted 1
divorce 3
divorces 1
divulging 1
doctor 1
employed 1
employees 1
ending 1
english 1
enough 1
establish 1
evelyn 10
evolves 1
failure 1
feeling 1
final 1
finalized 1
fired 1
for 5
frances 2
friend 1
friends 1
friendship 1
from 2
good 1
guest 1
guilt 2
hall 1
he 1
health 1
hearing 1
her 12
hers 1
herself 1
him 2
his 5
home 1
how 2
husband 3
if 1
immediately 1
in 6
interference 1
into 1
is 20
late 1
lawyer 1
lesbian 1
life 1
live 1
lives 1
local 1
lover 2
machine 1
make 1
marriage 1
married 2
men 1
mental 1
must 2
named 1
not 2
notify 1
of 6
on 2
operator 1
other 1
overwhelmed 1
own 1
packer 1
previous 1
professor 1
rather 1
realize 1
refuses 1
reject 1
relationship 4
relationships 1
relatively 1
relieved 1
reno 2
residency 1
responsibility 2
revealed 1
romantic 2
ruining 1
she 10
shift 1
significant 2
silver 1
sixweek 1
slot 1
some 1
sometime 1
son 1
split 1
spying 1
startled 1
stays 1
stifled 1
stolen 1
successful 1
suspicion 1
symptoms 1
take 1
takes 1
that 4
the 14
their 2
there 2
they 2
though 1
threatens 1
to 17
together 1
university 1
upon 1
walter 1
was 1
wellpaid 1
were 1
when 1
which 1
while 2
who 2
wholeheartedly 1
with 9
within 1
without 1
women 2
work 1
works 2
years 1
